FILE_PATH	UNIQUE_ID	GENOME	NAME	BACKGROUND	ENRICHED_REGION	ENRICHED_MACS	COLOR	FASTQ_FILE
/data/projects/p300_internal_mm/	11_0EWX_0229Kronos_MM1S-No-Treatment-1_H3K27Ac_hs-dm_i20	hg19	11_0EWX_0229Kronos_MM1S-No-Treatment-1_H3K27Ac_hs-dm_i20	35_0EXN_0229Kronos_MM1S-No-Treatment-1_Input_hs_i77	NA	11_0EWX_0229Kronos_MM1S-No-Treatment-1_H3K27Ac_hs-dm_i20_peaks.bed	48,176,245	NA
/data/projects/p300_internal_mm/	12_0EWY_0229Kronos_MM1S-No-Treatment-2_H3K27Ac_hs-dm_i21	hg19	12_0EWY_0229Kronos_MM1S-No-Treatment-2_H3K27Ac_hs-dm_i21	36_0EXO_0229Kronos_MM1S-No-Treatment-2_Input_hs_i78	NA	12_0EWY_0229Kronos_MM1S-No-Treatment-2_H3K27Ac_hs-dm_i21_peaks.bed	39,190,233	NA
/data/projects/p300_internal_mm/	13_0EWZ_0229Kronos_MM1S-KB-1hr-1_H3K27Ac_hs-dm_i22	hg19	13_0EWZ_0229Kronos_MM1S-KB-1hr-1_H3K27Ac_hs-dm_i22	37_0EXP_0229Kronos_MM1S-KB-1hr-1_Input_hs_i80	NA	13_0EWZ_0229Kronos_MM1S-KB-1hr-1_H3K27Ac_hs-dm_i22_peaks.bed	30,203,218	NA
/data/projects/p300_internal_mm/	14_0EX0_0229Kronos_MM1S-KB-1hr-2_H3K27Ac_hs-dm_i23	hg19	14_0EX0_0229Kronos_MM1S-KB-1hr-2_H3K27Ac_hs-dm_i23	38_0EXQ_0229Kronos_MM1S-KB-1hr-2_Input_hs_i81	NA	14_0EX0_0229Kronos_MM1S-KB-1hr-2_H3K27Ac_hs-dm_i23_peaks.bed	24,215,202	NA
/data/projects/p300_internal_mm/	15_0EX1_0229Kronos_MM1S-KB-3hr-1_H3K27Ac_hs-dm_i25	hg19	15_0EX1_0229Kronos_MM1S-KB-3hr-1_H3K27Ac_hs-dm_i25	39_0EXR_0229Kronos_MM1S-KB-3hr-1_Input_hs_i82	NA	15_0EX1_0229Kronos_MM1S-KB-3hr-1_H3K27Ac_hs-dm_i25_peaks.bed	25,226,187	NA
/data/projects/p300_internal_mm/	16_0EX2_0229Kronos_MM1S-KB-3hr-2_H3K27Ac_hs-dm_i29	hg19	16_0EX2_0229Kronos_MM1S-KB-3hr-2_H3K27Ac_hs-dm_i29	40_0EXS_0229Kronos_MM1S-KB-3hr-2_Input_hs_i84	NA	16_0EX2_0229Kronos_MM1S-KB-3hr-2_H3K27Ac_hs-dm_i29_peaks.bed	32,234,172	NA
/data/projects/p300_internal_mm/	17_0EX3_0229Kronos_MM1S-KB-6hr-1_H3K27Ac_hs-dm_i33	hg19	17_0EX3_0229Kronos_MM1S-KB-6hr-1_H3K27Ac_hs-dm_i33	41_0EXT_0229Kronos_MM1S-KB-6hr-1_Input_hs_i85	NA	17_0EX3_0229Kronos_MM1S-KB-6hr-1_H3K27Ac_hs-dm_i33_peaks.bed	47,241,155	NA
/data/projects/p300_internal_mm/	18_0EX4_0229Kronos_MM1S-KB-6hr-2_H3K27Ac_hs-dm_i37	hg19	18_0EX4_0229Kronos_MM1S-KB-6hr-2_H3K27Ac_hs-dm_i37	42_0EXU_0229Kronos_MM1S-KB-6hr-2_Input_hs_i86	NA	18_0EX4_0229Kronos_MM1S-KB-6hr-2_H3K27Ac_hs-dm_i37_peaks.bed	66,247,135	NA
/data/projects/p300_internal_mm/	19_0EX5_0229Kronos_MM1S-KB-24hr-1_H3K27Ac_hs-dm_i39	hg19	19_0EX5_0229Kronos_MM1S-KB-24hr-1_H3K27Ac_hs-dm_i39	43_0EXV_0229Kronos_MM1S-KB-24hr-1_Input_hs_i87	NA	19_0EX5_0229Kronos_MM1S-KB-24hr-1_H3K27Ac_hs-dm_i39_peaks.bed	88,251,116	NA
/data/projects/p300_internal_mm/	20_0EX6_0229Kronos_MM1S-KB-24hr-2_H3K27Ac_hs-dm_i43	hg19	20_0EX6_0229Kronos_MM1S-KB-24hr-2_H3K27Ac_hs-dm_i43	44_0EXW_0229Kronos_MM1S-KB-24hr-2_Input_hs_i90	NA	20_0EX6_0229Kronos_MM1S-KB-24hr-2_H3K27Ac_hs-dm_i43_peaks.bed	112,254,96	NA
/data/projects/p300_internal_mm/	31_0EX7_0229Kronos_MM1S-No-Treatment-1_IRF4_hs_i45	hg19	31_0EX7_0229Kronos_MM1S-No-Treatment-1_IRF4_hs_i45	35_0EXN_0229Kronos_MM1S-No-Treatment-1_Input_hs_i77	NA	31_0EX7_0229Kronos_MM1S-No-Treatment-1_IRF4_hs_i45_peaks.bed	135,255,79	NA
/data/projects/p300_internal_mm/	32_0EX8_0229Kronos_MM1S-No-Treatment-2_IRF4_hs_i48	hg19	32_0EX8_0229Kronos_MM1S-No-Treatment-2_IRF4_hs_i48	36_0EXO_0229Kronos_MM1S-No-Treatment-2_Input_hs_i78	NA	32_0EX8_0229Kronos_MM1S-No-Treatment-2_IRF4_hs_i48_peaks.bed	155,254,65	NA
/data/projects/p300_internal_mm/	33_0EX9_0229Kronos_MM1S-No-Treatment-1_p300_hs_i49	hg19	33_0EX9_0229Kronos_MM1S-No-Treatment-1_p300_hs_i49	35_0EXN_0229Kronos_MM1S-No-Treatment-1_Input_hs_i77	NA	33_0EX9_0229Kronos_MM1S-No-Treatment-1_p300_hs_i49_peaks.bed	170,251,57	NA
/data/projects/p300_internal_mm/	34_0EXA_0229Kronos_MM1S-No-Treatment-2_p300_hs_i50	hg19	34_0EXA_0229Kronos_MM1S-No-Treatment-2_p300_hs_i50	36_0EXO_0229Kronos_MM1S-No-Treatment-2_Input_hs_i78	NA	34_0EXA_0229Kronos_MM1S-No-Treatment-2_p300_hs_i50_peaks.bed	186,246,53	NA
/data/projects/p300_internal_mm/	35_0EXN_0229Kronos_MM1S-No-Treatment-1_Input_hs_i77	hg19	35_0EXN_0229Kronos_MM1S-No-Treatment-1_Input_hs_i77		NA	35_0EXN_0229Kronos_MM1S-No-Treatment-1_Input_hs_i77_peaks.bed	201,238,52	NA
/data/projects/p300_internal_mm/	36_0EXO_0229Kronos_MM1S-No-Treatment-2_Input_hs_i78	hg19	36_0EXO_0229Kronos_MM1S-No-Treatment-2_Input_hs_i78		NA	36_0EXO_0229Kronos_MM1S-No-Treatment-2_Input_hs_i78_peaks.bed	216,229,53	NA
/data/projects/p300_internal_mm/	37_0EXP_0229Kronos_MM1S-KB-1hr-1_Input_hs_i80	hg19	37_0EXP_0229Kronos_MM1S-KB-1hr-1_Input_hs_i80		NA	37_0EXP_0229Kronos_MM1S-KB-1hr-1_Input_hs_i80_peaks.bed	227,219,56	NA
/data/projects/p300_internal_mm/	38_0EXQ_0229Kronos_MM1S-KB-1hr-2_Input_hs_i81	hg19	38_0EXQ_0229Kronos_MM1S-KB-1hr-2_Input_hs_i81		NA	38_0EXQ_0229Kronos_MM1S-KB-1hr-2_Input_hs_i81_peaks.bed	238,207,58	NA
/data/projects/p300_internal_mm/	39_0EXR_0229Kronos_MM1S-KB-3hr-1_Input_hs_i82	hg19	39_0EXR_0229Kronos_MM1S-KB-3hr-1_Input_hs_i82		NA	39_0EXR_0229Kronos_MM1S-KB-3hr-1_Input_hs_i82_peaks.bed	246,195,58	NA
/data/projects/p300_internal_mm/	40_0EXS_0229Kronos_MM1S-KB-3hr-2_Input_hs_i84	hg19	40_0EXS_0229Kronos_MM1S-KB-3hr-2_Input_hs_i84		NA	40_0EXS_0229Kronos_MM1S-KB-3hr-2_Input_hs_i84_peaks.bed	251,182,55	NA
/data/projects/p300_internal_mm/	41_0EXT_0229Kronos_MM1S-KB-6hr-1_Input_hs_i85	hg19	41_0EXT_0229Kronos_MM1S-KB-6hr-1_Input_hs_i85		NA	41_0EXT_0229Kronos_MM1S-KB-6hr-1_Input_hs_i85_peaks.bed	254,167,50	NA
/data/projects/p300_internal_mm/	42_0EXU_0229Kronos_MM1S-KB-6hr-2_Input_hs_i86	hg19	42_0EXU_0229Kronos_MM1S-KB-6hr-2_Input_hs_i86		NA	42_0EXU_0229Kronos_MM1S-KB-6hr-2_Input_hs_i86_peaks.bed	254,151,43	NA
/data/projects/p300_internal_mm/	43_0EXV_0229Kronos_MM1S-KB-24hr-1_Input_hs_i87	hg19	43_0EXV_0229Kronos_MM1S-KB-24hr-1_Input_hs_i87		NA	43_0EXV_0229Kronos_MM1S-KB-24hr-1_Input_hs_i87_peaks.bed	252,133,35	NA
/data/projects/p300_internal_mm/	44_0EXW_0229Kronos_MM1S-KB-24hr-2_Input_hs_i90	hg19	44_0EXW_0229Kronos_MM1S-KB-24hr-2_Input_hs_i90		NA	44_0EXW_0229Kronos_MM1S-KB-24hr-2_Input_hs_i90_peaks.bed	248,115,28	NA
/data/projects/p300_internal_mm/	21_0F27_0229Kronos_MM1S-No-Treatment-1_H3K27me3_hs-dm_i02	hg19	21_0F27_0229Kronos_MM1S-No-Treatment-1_H3K27me3_hs-dm_i02	35_0EXN_0229Kronos_MM1S-No-Treatment-1_Input_hs_i77	NA	21_0F27_0229Kronos_MM1S-No-Treatment-1_H3K27me3_hs-dm_i02_peaks.bed	242,97,20	NA
/data/projects/p300_internal_mm/	22_0F28_0229Kronos_MM1S-No-Treatment-2_H3K27me3_hs-dm_i04	hg19	22_0F28_0229Kronos_MM1S-No-Treatment-2_H3K27me3_hs-dm_i04	36_0EXO_0229Kronos_MM1S-No-Treatment-2_Input_hs_i78	NA	22_0F28_0229Kronos_MM1S-No-Treatment-2_H3K27me3_hs-dm_i04_peaks.bed	235,81,14	NA
/data/projects/p300_internal_mm/	23_0F29_0229Kronos_MM1S-KB-1hr-1_H3K27me3_hs-dm_i05	hg19	23_0F29_0229Kronos_MM1S-KB-1hr-1_H3K27me3_hs-dm_i05	37_0EXP_0229Kronos_MM1S-KB-1hr-1_Input_hs_i80	NA	23_0F29_0229Kronos_MM1S-KB-1hr-1_H3K27me3_hs-dm_i05_peaks.bed	227,68,10	NA
/data/projects/p300_internal_mm/	24_0F2A_0229Kronos_MM1S-KB-1hr-2_H3K27me3_hs-dm_i06	hg19	24_0F2A_0229Kronos_MM1S-KB-1hr-2_H3K27me3_hs-dm_i06	38_0EXQ_0229Kronos_MM1S-KB-1hr-2_Input_hs_i81	NA	24_0F2A_0229Kronos_MM1S-KB-1hr-2_H3K27me3_hs-dm_i06_peaks.bed	217,56,7	NA
/data/projects/p300_internal_mm/	25_0F2B_0229Kronos_MM1S-KB-3hr-1_H3K27me3_hs-dm_i07	hg19	25_0F2B_0229Kronos_MM1S-KB-3hr-1_H3K27me3_hs-dm_i07	39_0EXR_0229Kronos_MM1S-KB-3hr-1_Input_hs_i82	NA	25_0F2B_0229Kronos_MM1S-KB-3hr-1_H3K27me3_hs-dm_i07_peaks.bed	205,44,4	NA
/data/projects/p300_internal_mm/	26_0F2C_0229Kronos_MM1S-KB-3hr-2_H3K27me3_hs-dm_i13	hg19	26_0F2C_0229Kronos_MM1S-KB-3hr-2_H3K27me3_hs-dm_i13	40_0EXS_0229Kronos_MM1S-KB-3hr-2_Input_hs_i84	NA	26_0F2C_0229Kronos_MM1S-KB-3hr-2_H3K27me3_hs-dm_i13_peaks.bed	192,34,2	NA
/data/projects/p300_internal_mm/	27_0F2D_0229Kronos_MM1S-KB-6hr-1_H3K27me3_hs-dm_i14	hg19	27_0F2D_0229Kronos_MM1S-KB-6hr-1_H3K27me3_hs-dm_i14	41_0EXT_0229Kronos_MM1S-KB-6hr-1_Input_hs_i85	NA	27_0F2D_0229Kronos_MM1S-KB-6hr-1_H3K27me3_hs-dm_i14_peaks.bed	177,26,1	NA
/data/projects/p300_internal_mm/	28_0F2E_0229Kronos_MM1S-KB-6hr-2_H3K27me3_hs-dm_i16	hg19	28_0F2E_0229Kronos_MM1S-KB-6hr-2_H3K27me3_hs-dm_i16	42_0EXU_0229Kronos_MM1S-KB-6hr-2_Input_hs_i86	NA	28_0F2E_0229Kronos_MM1S-KB-6hr-2_H3K27me3_hs-dm_i16_peaks.bed	161,18,1	NA
/data/projects/p300_internal_mm/	29_0F2F_0229Kronos_MM1S-KB-24hr-1_H3K27me3_hs-dm_i17	hg19	29_0F2F_0229Kronos_MM1S-KB-24hr-1_H3K27me3_hs-dm_i17	43_0EXV_0229Kronos_MM1S-KB-24hr-1_Input_hs_i87	NA	29_0F2F_0229Kronos_MM1S-KB-24hr-1_H3K27me3_hs-dm_i17_peaks.bed	142,10,1	NA
/data/projects/p300_internal_mm/	30_0F2G_0229Kronos_MM1S-KB-24hr-2_H3K27me3_hs-dm_i19	hg19	30_0F2G_0229Kronos_MM1S-KB-24hr-2_H3K27me3_hs-dm_i19	44_0EXW_0229Kronos_MM1S-KB-24hr-2_Input_hs_i90	NA	30_0F2G_0229Kronos_MM1S-KB-24hr-2_H3K27me3_hs-dm_i19_peaks.bed	122,4,3	NA
