GENE,p300H3K27ac_34_DMSO_compare,IRF4H3K27ac_32_DMSO_compare,tot_rank,LOG2_FOLD_CHANGE,percentage,p_value_adj,H3K27ac_1Hr,H3k27ac_12_DMSO_compare,label
SEC14L1,32560.358350000002,37498.88185,93,-1.20048450093189,0,1,-1.3295709323196578,78862.68593208966,NA
SP1,32992.7306,36759.63525000001,93,0.154467390756829,25,1,-1.6103593116101018,69819.43127849503,NA
BCL2L1,32948.21554999999,36300.2654,96,-1.34114128924852,70,1,-1.3819338369807446,81991.46607304737,NA
QPCT,35878.3571,34469.2362,99,-0.238382092422891,0,1,-1.5250908032291246,120772.1811004753,NA
IQGAP3,27054.13645,43830.1624,104,0.0756133711264725,0,1,-1.455543998404821,60586.91649782423,NA
KLF13,30303.371500000005,38261.47035,104,-1.8095998149869,0,1,-1.3098456359963877,69320.87008661477,NA
TERT,34298.445,34364.1202,108,-1.61865539482033,0,1,-0.5218033327222616,91946.85599667366,NA
TPX2,32760.4128,35116.200899999996,108,0.0181028175301416,100,1,-1.3903892399000017,77988.06347553941,NA
FEM1B,30754.68215,35968.5104,118,-0.645780393776024,15,1,-1.3211536590866393,75255.81847772421,NA
PRR13,31963.38695,33989.865600000005,127,-0.146057056807338,40,1,-1.6855749709140515,65732.9077518,NA
MAP3K12,31791.5872,33586.007,132,-0.712331149086559,0,1,-1.6768562429970082,67080.59462508009,NA
PRKD3,35321.5512,32761.0161,133,-0.598042413062837,5,1,-1.5496358585580352,119020.06761583482,NA
PMVK,25981.4262,39282.81425,140,-0.544434097116187,45,1,-1.4200458501333342,80198.45744349308,NA
RAD50,28208.0857,35114.29335000001,140,-0.0723464330813419,0,1,-1.793671579708964,56492.52988063007,NA
IRF2,31873.88245,33091.633350000004,142,-2.15369866430628,35,1.252009408354797e-4,-1.3366221302892742,81916.49463686581,NA
CLN6,30610.42935,33983.8784,143,-0.0251581438871792,0,1,-1.3278579641083086,70090.94668699324,NA
CYTH1,30981.845500000003,33572.16055,144,-0.824994058190092,0,1,-1.7828510053128857,82641.67943389331,NA
KCNN3,27786.59225,34906.8759,144,-0.819837603821713,0,1,-1.5727723909493179,76735.35821862277,NA
PRDM1,30625.809499999996,33408.70245,149,-0.593664579111681,70,1.2957371445155156e-7,-1.1589153826843075,89597.88704841284,PRDM1
SEMA4A,27546.81855,34782.5311,149,-0.397841559446534,0,1,-1.0899330996890346,57630.451659928156,NA
TARBP2,31495.917,32976.8845,151,0.119298634632773,5,1,-1.6779798275662239,66720.56040452913,NA
ERN1,31115.93875,32983.39135,153,-0.500837394638427,15,0.4272919499376964,-1.7151721380784408,67055.36882482459,NA
ICAM2,31365.6483,32665.999499999998,164,-0.698888677349127,0,1,-1.7067532206163314,67514.27074087685,NA
SSR2,24729.20675,37567.98099999999,166,0.192847660379131,10,1,-1.4475937712577085,43294.60593745179,NA
LTBP3,24085.2778,37907.098150000005,170,-0.257720348502909,0,1,-1.3072347872034469,54510.518819795034,NA
FAM89B,23930.052349999994,37689.37245,173,-0.179836604845847,0,1,-1.3088348691808507,54991.58278418245,NA
RAB8A,26265.048600000002,34116.38035,178,-0.223963109447465,0,1,-1.2605240018642858,57089.11145897636,NA
VOPP1,36760.291450000004,30351.742749999998,179,-0.437825791657581,40,1,-1.245285132645305,77721.15027129703,NA
SLC25A44,26300.56325,33070.53925,192,0.540538196025237,0,1,-1.0710216857472554,50527.86861484059,NA
MDM4,31110.1463,31435.127550000005,197,-0.490477431576668,5,1,-1.6856409031717245,60502.92039151472,NA
KLHL6,29543.8811,31654.73315,205,-1.0536307759375,5,1,-1.4798350856620353,63477.731043899774,NA
PDE4DIP,29850.65275,31473.8946,205,0.325735841370385,60,1,-1.6117149864500149,33543.411017576014,NA
TPM4,25648.85,32975.2276,206,-0.558663806912017,25,1,-1.2585806837065714,57326.63417538637,NA
CCNL1,27605.54395,31805.944600000003,207,0.286262662420431,70,1,-1.5412763572796764,60681.76829143187,NA
CHMP4B,30294.4628,30606.723400000003,219,-0.593039677842696,75,1,-1.1934185836724998,69174.3618110436,NA
NPFF,30283.4482,30335.5896,225,0.0713633739705807,0,1,-1.6969483183555754,61308.47898619914,NA
HES1,27494.146549999998,30738.1608,232,-0.271513990843253,0,1,-0.9688386306263527,33770.75017854024,NA
LEFTY2,23715.424150000003,32864.6626,237,-0.511328741141035,0,1,-1.5133659933985766,52624.49033491014,NA
CALML4,28631.0462,29962.441550000003,238,-0.914700663285113,0,1,-1.3658537418299892,62908.49219105847,NA
LITAF,26386.446300000003,31233.231,238,-0.570831232046065,0,1,-1.3792372645299482,63029.01841153931,NA
PBXIP1,22124.144249999998,34474.49895,238,-0.514954622335387,0,1,-1.7297715510597298,68156.79634561914,NA
EHBP1L1,21400.642099999997,36058.35455000001,239,-0.455823391546446,0,1,-1.2857938001324423,52203.844108630685,NA
SHC1,21562.51615,35769.80755,239,0.147382820590552,0,1,-1.616320034233275,68758.7210690008,NA
SLC25A45,23438.25455,32718.8366,246,-0.524837074157245,0,1,-1.2770458965474292,74904.54979507792,NA
SART3,27794.83085,29744.22855,247,-0.0169998530164448,100,1,-1.2545801557872653,69978.6495612975,NA
PTPN6,21572.31225,34596.061349999996,249,-1.67244303033824,0,1,-1.446606376086405,58086.76629614961,NA
PYCR2,22986.9248,32863.6458,249,-0.281144569523325,0,1,-1.4769635798189653,48437.71834795497,NA
IZUMO4,21030.8886,35588.282400000004,256,-0.229004825006829,0,1,-1.356155585690913,67771.41156765471,NA
PIK3C2B,29693.5587,28236.191749999998,260,0.0532674712747561,0,1,-1.710482280823059,48047.22157987613,NA
FRMD8,23507.12555,32082.770500000002,261,0.214529957851359,0,1,-1.2510476632578775,71192.38729458326,NA
CORO1C,26301.589099999997,29918.783799999994,263,-0.289022368056308,0,1,-1.366703043720021,68250.62934462845,NA
IFNAR1,25989.361100000002,30300.0994,263,-0.349451406828525,0,1,-1.3919632914582118,49146.94503568766,NA
ARHGEF2,20939.5269,34901.58924999999,264,-1.72398954496976,0,1,-1.4827494505334151,45136.013998691036,NA
PYGO2,20994.68615,34686.83675,265,-0.343788414395242,0,1,-1.590200281320624,66146.31478553492,NA
ISCU,27140.703650000003,28477.540950000002,268,-0.364396734035123,100,1,-1.2830541946525154,66486.83525295951,NA
TRAM2,28818.315100000003,27717.3318,272,-1.13508164365625,0,1,-1.5195599190951499,63510.5726103133,NA
TMEM63A,21399.6906,33295.5486,273,-1.15343847676195,0,1,-1.5126158763776711,51329.6323978525,NA
ZBTB7B,20367.9288,35648.7596,274,-1.38213395004758,15,1,-1.6806002117294694,62683.68825763598,NA
EDEM1,28715.222499999996,27641.809,277,-0.31663674489425,0,1,-1.789390098034048,80518.75639497186,NA
C12orf57,21224.48925,33240.69115,279,-0.259927357252366,0,1,-1.3851521610699264,55342.63288686531,NA
RIT1,20935.71795,33637.58395,279,1.10441874159418,5,1,-1.5422345188385411,39581.11241530128,NA
ADAM15,20262.138,35193.0573,284,-0.0702603471134999,5,1,-1.6496087480050015,60465.28685989106,NA
ORAI2,21945.731050000002,32148.6676,289,-0.716973177840483,0,1,-1.0973476689725896,55985.5491383007,NA
PRKRIP1,22543.7136,31621.4406,291,0.112777932521883,55.00000000000001,1,-1.0124356431798518,59304.73841289579,NA
PRMT7,22291.89,31794.0605,291,-0.254689578750046,0,1,-1.5448448609976788,51566.292560735295,NA
SLC7A6OS,22291.89,31794.0605,291,-0.0526931850194061,100,1,-1.5448448609976788,51566.292560735295,NA
SPSB2,20413.393500000002,33576.50945,296,-0.178433486473806,0,1,-1.3873095894639031,50803.1443646432,NA
USP36,26340.447249999997,27792.75275,296,0.428789144550825,100,1,-1.594426653176287,69604.33187931046,NA
RBM38,22715.548600000002,31117.749499999998,297,-1.02988049642006,0,1,-1.3256679936458668,58981.017362112245,NA
REPIN1,22198.764799999997,31405.65385,304,-0.879146192267282,0,1,-1.2411787206475906,57619.886216599785,NA
HERPUD1,23806.92965,29589.120200000005,306,-0.119810975547367,45,3.111558705485961e-4,-1.1124385450139966,55867.222915695864,NA
FLAD1,20479.607949999998,32953.09175,311,-0.471452601227976,0,1,-1.6634591792386397,60895.33250229545,NA
ARL8B,27479.592099999998,26060.5002,314,0.407082669032465,15,1,-1.8399170107639984,71184.35376472797,NA
ATN1,20620.21705,32702.032199999998,315,-0.271904331500347,0,1,-1.4081431019945927,52375.637409003946,NA
FAM32A,23075.30265,29633.3215,316,0.337312104086929,60,1,-1.2268685807207358,43051.744003242355,NA
CRYBB1,26262.096450000005,26562.048300000002,322,-0.471510220905255,0,1,-1.377494348095146,43587.919218245486,NA
IDH2,23453.65775,28851.243350000004,322,-0.293952685845135,0,1,-1.608461846037028,60514.158437382415,NA
PPCDC,24209.8378,27668.63055000001,326,-0.474185810956672,50,9.246946873549506e-5,-1.2454830356813849,47699.10744200967,NA
MCL1,22908.4163,28880.172400000003,329,-0.0694973374018451,90,0.03662610154295253,-1.3385033360174994,49617.14330681514,NA
MCF2L2,25388.476499999997,26405.4431,338,0.110282680427332,0,1,-1.4303439124198174,51944.32056961063,NA
AP1M1,22348.07335,28406.777500000004,343,0.498750050386647,10,1,-1.219496018256819,42154.21311345634,NA
MEF2D,20223.1692,32134.43095,344,-0.840408806782557,5,1,-1.5058933310448248,49915.60686243844,NA
ST6GAL1,23902.24985,26962.74235,344,-0.89157259051794,0,1,-1.5162374654570372,66977.3766362548,NA
BTBD2,20094.99755,32636.96245,345,0.0443337813092083,0,1,-1.3651850390916975,63984.85095228048,NA
SLC22A5,24104.781750000002,26491.288650000002,349,0.218415628695439,0,1,-1.7294826139725719,69000.91285036034,NA
ENO2,20090.61245,32332.564749999998,350,-0.426131988654866,0,1,-1.393597909729507,52357.53603242128,NA
PHB2,20203.9352,32068.5109,351,-0.198950093962339,100,1,-1.3778134665325559,52903.98850647562,NA
TPST2,25130.447,25741.39615,351,-1.24658562674158,0,1,-1.4512305177564588,47907.49208712397,NA
LMNA,22326.6024,27994.3531,355,1.29760397742055,0,1,-1.0186306337501014,43185.19881500903,NA
LRRC23,20341.028,31473.164899999996,355,-0.0842604753290653,0,1,-1.4055125194523435,50984.01410370457,NA
DUSP5,23841.1049,26366.860349999995,360,-0.682250669015359,5,1,-1.4175616319254283,56797.362139192584,NA
TXNIP,21094.838899999995,29759.04455,361,-1.02021486897913,0,1,-1.5686565514588378,47749.61286559427,NA
TPI1,20048.561950000003,31899.557249999998,364,-0.0215180693574469,85,1,-1.381090028077041,51524.454532924545,NA
RAC2,19524.09425,32464.26375,367,-0.683736439763723,15,1,-1.3053610115961818,46652.73935652299,NA
PMF1,21597.55795,28122.42275,370,-0.258619235125263,100,1,-1.0746527047328578,48419.92844251184,NA
SLC1A4,22915.20095,26418.9743,372,-0.195044708368889,0,1,-1.1330161498454319,52876.54883899748,NA
TPD52,27034.907499999994,23947.2953,372,-0.385750507834404,0,1,-2.00456293018455,57888.99593514558,NA
ENSA,22496.769500000002,26644.322,376,-0.0187606663231884,55.00000000000001,1,-1.3728792537404308,52372.4832216346,NA
CCR2,26453.4559,23829.368999999995,379,-3.96049410597615,0,1,-1.611370311219472,43622.84731621382,NA
ALKBH4,20204.187850000002,30376.665699999998,381,0.267638865872306,0,1,-1.073021545792607,50157.94949877297,NA
LRWD1,20204.187850000002,30376.665699999998,381,-0.136362062201732,5,1,-1.073021545792607,50157.94949877297,NA
CASP10,24899.108650000002,24254.437850000002,392,-1.33324746416325,0,1,-1.5251586085261812,55657.485375267,NA
EDC3,18806.0618,32346.3185,404,0.574005649928965,0,1,-1.5020369128793503,61431.210929866764,NA
CCR5,26110.300150000003,23333.500699999997,407,-1.7598178486437701,0,1,-1.6089768995955005,43257.31426252736,NA
ICOSLG,20533.091500000002,27652.719849999998,412,-0.743862382044278,0,1,-1.2012742612237515,63438.50497806675,NA
CSK,18652.22365,32309.031249999993,413,-1.36214830318726,0,1,-1.5721503632630507,58031.4368517491,NA
CD48,22023.0201,25213.06665,414,-1.4969763654611,0,1,-1.7194451223806422,43397.151692866435,NA
MKNK2,19272.686299999994,31040.236599999997,415,1.23285119264419,0,1,-1.368580300189406,62250.13475445323,NA
PFDN5,19595.734000000004,29860.11735,417,-0.0706996097721088,45,1,-1.0642709097821832,57871.45886953833,NA
SCAMP2,18622.487150000004,32295.0812,417,0.282495253274478,0,1,-1.538709745483491,55854.031897081055,NA
POLR3GL,20125.1861,28400.144549999997,419,0.0262425815339666,0,1,-1.517981272628819,43144.14745890716,NA
DOT1L,19727.262499999997,29391.11045,420,-0.165781635830516,35,7.870066930424083e-5,-1.363527830848252,60444.4266742931,NA
ZNF775,19466.312849999995,29714.98275,428,-0.941006229075682,0,1,-1.337448612616149,53567.92561798424,NA
RAB30,25517.03870000001,22744.931350000003,433,-0.015719354078793,5,1,-1.5090041728316723,46408.618908372126,NA
CFLAR,22085.382599999997,24266.89495,441,-0.98378627917817,90,1,-1.50341055320117,60333.690427608,NA
MYLK2,24295.795449999998,22529.285900000003,453,-0.393921687445296,0,1,-1.3997226664352278,66009.36365339841,NA
GALNT2,25324.30805,22297.62075,454,-0.0780707529154651,0,1,-1.3769660873851062,47044.60376545103,NA
FLI1,20530.37435,25039.121600000002,460,-1.49814557702085,30,1,-1.7531580622911467,59649.41858450568,NA
UBE2J1,23888.1351,22531.778350000004,461,-0.604131614665038,15,0.014224009280850191,-1.6355680974035829,46530.19101487338,NA
LIX1L,19458.724349999997,27657.985249999998,462,1.16096286214996,0,1,-1.5288482318506027,42642.565071765974,NA
CASP8,22167.55305,23477.352,465,-0.536192542442048,0,1,-1.5250475434422488,48101.90750084602,NA
CCL3,22761.1739,22484.29965,486,-1.00546480986713,0,1,-1.3560123285016392,34526.583375719696,NA
SLAMF7,20801.726000000002,23864.93405,491,-0.773577240139202,0,1,-1.6771555529704918,38978.543638159834,NA
AP3D1,18223.11725,28670.05465,492,0.463573741773041,0,1,-1.3129168998703589,58725.87252028498,NA
CYTH4,18047.09175,29077.093749999996,495,-0.657458116742116,0,1,-1.2881520627721355,42345.16676989513,NA
DDIT4,19531.07045,25308.964,499,-0.123949973870602,0,1,-1.2820224220614884,40350.74134700854,NA
MRPL24,17077.29675,31313.234200000003,504,-0.246262147465243,30,1,-1.3032763011007904,38887.823771674804,NA
GPR160,21705.173,22471.049150000006,509,-0.204403228476568,0,1,-1.559892003654995,37525.04165312897,NA
GABRR2,24257.261599999998,21144.1041,512,-0.0725470625071575,0,1,-1.7110969885831977,40422.15580619224,NA
NLRC5,19472.126949999998,24492.45115,519,2.68819102834635e-5,0,1,-1.1275992827484487,41107.41838847856,NA
GNG7,19402.965949999998,24764.193249999997,521,-0.174321171458357,0,1,-0.6715044561109487,48311.39562341155,NA
RARG,18133.062100000003,27219.0622,522,-1.09649724388253,0,1,-1.022892789505602,52823.02993106774,NA
UBQLN4,18569.5734,26519.968500000003,523,-0.137453315518648,85,1,-1.217695328274303,30858.71259199354,NA
LPCAT3,17785.716350000002,28233.95155,524,0.345511507448552,0,1,-1.4060993911308228,47698.90896938736,NA
APOBEC3G,19132.44355,25194.192300000002,528,-0.725294897236639,0,1,-1.3177333435829242,30921.44773962092,NA
SSTR3,17581.894249999998,28382.863749999997,528,-1.90459308643429,0,1,-1.2918399747724347,41682.65347310577,NA
MGAT3,18626.95115,25957.7811,531,-1.95341459228414,0,1,-1.364989388942208,46225.3604871539,NA
IFNGR2,19640.83095,23764.244300000002,535,-0.562604363786806,0,1,-1.3124072749270692,30662.791744660826,NA
DSCC1,26423.575450000004,20143.30855,536,0.122658725751538,15,1,-1.5176603183049784,48778.75882965642,NA
PTK2B,18855.787800000006,24952.429150000004,543,-0.684713177620534,0,1,-1.4611494323574494,44344.75088377415,NA
ITPKB,18311.5369,25700.491500000004,544,-0.521014860502012,0,1,-1.0500076322814056,39824.45094654718,NA
GADD45B,16891.0349,28991.0608,552,0.834637410373865,10,1,-1.0282020381818897,25898.01998314619,NA
MYOM2,23121.11135,20835.157850000003,552,-0.537510108606578,0,1,-0.7348755790303676,59491.59535498929,NA
ISG20L2,16533.9718,30248.834200000005,554,0.194195506440554,100,1,-1.3015791941128547,36570.74762446381,NA
HDGF,16485.18415,30255.553350000006,559,-0.285459869361958,0,1,-1.2966730811953218,36343.259623170205,NA
NUAK2,18943.01455,24270.43735,560,-1.25368292834445,0,1,-1.6647972487977272,33964.57503254754,NA
PIGV,18088.3541,24989.87295,567,-0.138045528526633,0,1,-1.3492945298134362,42746.05020651547,NA
ESPL1,17525.0296,26412.7437,572,-0.115647017997724,100,1,-1.0193690288101478,52706.40097623816,NA
SCAMP5,20194.140699999996,22182.677799999998,572,-0.333264363121234,0,1,-1.296640531046719,41294.11381696661,NA
GRB7,21381.57645,21007.16235,582,-0.35147117575968,0,1,-1.3930314819955494,51224.163573451915,NA
MFSD5,17457.340800000005,26221.728900000002,582,0.358866204701592,0,1,-1.0169916747650563,52374.48949887093,NA
NES,16225.757699999998,29104.424300000006,588,-0.829226720599796,0,1,-1.3280228385654038,34682.66934250346,NA
MYC,19137.883500000004,23245.7903,589,-2.40971101330614,100,0.008683153314492318,-0.9818892447306972,62193.25864949428,MYC
STK17B,23638.22485,19879.7899,590,-1.21759003360587,5,0.040036578510488544,-1.7316033405629874,36067.955310861296,NA
TNFAIP3,23421.2415,19897.23835,594,-2.00507982919017,0,1,-1.5938768307123214,39737.064180236266,NA
ATF4,17427.254849999998,25470.412500000006,595,0.119452565427672,70,1,-1.3107525525464507,48326.935251193325,ATF4
TIGD3,17401.023699999998,25473.515450000003,595,1.01969829553422,0,1,-1.295463360647897,58645.377620024985,NA
ANXA6,18593.3793,23540.328250000002,599,-0.385655380143885,0,1,-1.492492514470955,33169.12100048818,NA
TAF2,25720.301450000003,19191.922450000002,602,0.602758454966906,90,1,-1.5253958135360617,48813.39001101143,NA
RGS1,29697.8454,18697.091500000002,604,1.66490299488872,0,1,-1.2948020130708846,33792.901467156116,NA
SLC7A6,17749,24372.51905,605,-0.713438743483317,0,1,-1.4813302864949531,35848.982419067295,NA
BGLAP,18522.5207,23391.88735,608,-1.00880007504992,0,1,-1.0478912052250224,41479.04149268082,NA
ATF3,18990.26335,22617.4006,614,1.72837219657137,0,1,-1.6581991605780801,27939.86715867302,NA
ZNF710,19036.5081,22490.4399,616,-0.844574790233261,0,1,-1.6159355159010478,48936.259290277434,NA
ARL3,17942.5899,23541.831400000003,619,-0.322896392671113,0,1,-1.3545765565129673,46056.9682604214,NA
DSTYK,17398.29015,24423.478900000002,624,0.627476138012856,0,1,-1.6134994664578164,32623.26407136232,NA
SFXN2,17922.184999999998,23503.846400000002,624,0.171476600124755,0,1,-1.3540056818963606,45935.16696024858,NA
CHST15,16685.4684,25351.361100000002,627,-1.78168947886654,0,1,-1.2319256031743206,41122.18391040711,NA
SMNDC1,22814.8874,19543.3446,629,0.409827723940737,100,1,-1.124849414223933,52868.29122511024,NA
IL10RB,19975.252399999998,21000.6578,639,-0.552389046498945,0,1,-1.4905125406173922,37054.019326895956,NA
GIMAP8,16456.1996,25371.95025,642,-0.558596197549948,0,1,-1.3670491268362355,42680.040834227344,NA
PYGB,17048.70615,24135.9913,642,-0.128550453597285,0,1,-1.1286147061366907,55800.8080576623,NA
APOBEC3F,17888.96875,22446.38135,663,-1.09278070228609,0,1,-1.302900920210407,27008.364517997346,NA
FNDC3B,22817.6901,18918.019849999997,663,0.0971976123551017,0,1,-1.8144703289764499,43121.93516478452,NA
AKNA,19183.9493,21127.62205,667,-0.833933485733733,0,1,-1.530969162209933,50187.68806604636,NA
APOBEC3D,17642.70815,22182.672899999998,680,-1.42140545609206,0,1,-1.3155283374879578,27279.094684638367,NA
RASA3,19158.9644,20896.99205,680,-0.191495783020798,0,1,-0.49376626881180175,46740.94472155756,NA
BCL9L,16341.695650000001,24216.0709,682,-1.34042542142099,5,1,-1.542996128973162,37364.093750448534,NA
PCP4,19249.3931,20811.20095,682,0.0954529773060361,0,1,-0.8273711610397996,36696.73114186182,NA
TIMM13,15697.0527,25329.2856,682,-0.420838926675095,90,1,-1.0810157405666216,29272.55318662688,NA
MYH9,16374.586650000001,24108.187100000003,683,-0.146094830587947,75,1,-1.2759679397746115,33640.05833187929,NA
ITGB7,16512.18545,23810.13085,684,-0.339691270137917,0,1,-1.0187761530857233,56011.03587925412,NA
TARS2,16381.369249999998,23916.48885,687,0.281961153170916,75,1,-1.3303852435200147,37856.232154905054,NA
CSAD,16330.31965,23699.31985,697,-0.0822625093944741,0,1,-1.019896784568837,51330.357935985754,NA
TMCC2,17570.0254,21856.0174,697,-1.79460921560593,0,1,-1.685363823834427,31862.412211597395,NA
PAQR6,17500.392949999998,22077.05635,698,0.266519439299814,10,1,-1.047115944022816,40553.23686299154,NA
ZNF740,16320.16925,23687.65625,700,0.636573503006324,0,1,-1.020012644822533,51324.90998212637,NA
SMAD7,16053.930199999999,23926.695099999997,703,-1.44598062284649,75,4.4589127330166654e-7,-1.1386621582601801,40002.49057757626,NA
ZNF217,19633.576800000003,19743.793400000002,711,-0.647028674020346,90,1.9051743218710638e-4,-1.754794795982475,55121.31040819821,ZNF217
BMF,18009.3987,21098.4324,712,-2.36239565244598,30,1,-1.5923464871492097,41152.86166351744,NA
XBP1,20135.16285,19430.23885,716,-0.183561505780116,25,1,-1.242165736390165,55111.38974093208,NA
ATP8B2,15926.180999999999,23631.3413,723,-1.18199402984083,5,1,-1.4629376896634354,45914.46259218054,NA
RUNX1,17780.3123,20905.62355,735,-1.70045320345821,10,1,-1.3423181533797843,25458.95526825468,NA
PDE4B,20930.7026,18562.89515,740,1.29546725173513,0,1,-1.2207628551754999,36078.498057754936,NA
DYRK3,18546.2042,20084.985500000003,748,1.67879440424143,0,1,-1.6731061865989272,32088.58110361618,NA
C19orf44,19144.40605,19586.6709,753,0.792368356213526,0,1,-1.5007995239059053,60854.18142143899,NA
GAS6,16583.296000000002,21714.92505,753,-0.287196967251727,0,1,-0.7487078960546956,41899.11196455486,NA
RAE1,15449.646700000001,23197.9896,756,-0.0193967657111263,100,1,-1.1929925106952914,28763.855575694546,NA
BCR,15802.542749999997,22598.6617,760,-0.288505114908583,0,1,-1.5212922259370887,49799.73926326155,NA
DNAJB12,16779.880400000002,21438.7351,761,0.253240964552209,15,1,-1.2333390088001899,37236.55278473256,NA
MCFD2,16850.2986,21151.9131,764,0.214368667080869,0,1,-1.3251741590726653,38688.99560619405,NA
SKAP1,21425.04685,17990.7564,764,-0.465297870084399,0,1,-1.8827780288054816,32624.052384957155,NA
RGS14,14751.505900000004,24467.363750000004,767,-1.46956635596168,0,1,-1.3820759553405015,26034.56250644363,NA
TK1,15448.012999999999,22813.09805,767,0.0358759104794187,0,1,-1.3184960239362264,34073.70447062775,NA
AFMID,15439.859400000001,22793.369250000003,769,-0.086403048426019,0,1,-1.318652090168883,34066.353632497005,NA
ARMC2,20453.5982,18256.783299999996,773,-0.167625549913416,0,1,-1.7365807030320322,29392.496238619646,NA
ANKRD37,19977.007650000003,18708.96565,775,-1.44845807738913,0,1,-1.3782173979225536,36055.70522098361,NA
RPS19BP1,15734.218050000003,22320.5461,775,-0.41464829952001,65,1,-1.3733015049904647,41250.97690320872,NA
SUB1,18277.1894,19620.2606,778,-0.354761220798655,10,1,-1.3630510897394734,42936.44753271575,NA
PWP2,15995.003350000003,21794.79565,782,0.123427653930719,100,1,-1.117942595156857,48688.54959722696,NA
LRRC61,16428.88715,21300.49225,783,-0.147393424845343,0,1,-1.41922986486226,42284.79416797927,NA
CHERP,17607.60895,20005.660750000003,785,0.117241236377904,100,1,-1.4654108700104627,53636.68436992354,NA
IRF2BP2,17486.2992,20259.56075,786,-1.50145926834608,5,1,-1.3266217256325337,48288.1165444941,NA
BIRC5,15291.44975,22622.973,787,-0.178312839488727,100,1,-1.3186565408435469,34218.023651050535,NA
PRKCI,18642.22675,19328.229550000004,787,0.568522415585761,0,1,-1.1800544045579,26173.163218783462,NA
SIK1,16260.448699999999,21278.91145,791,-0.320400114269244,0,1,-1.3930223076868862,32585.691423998003,NA
IER5,15281.875250000001,22590.92325,792,0.215908873146592,0,1,-1.5455700148987819,20325.563076921408,NA
TNFRSF13B,18517.12845,19213.16435,801,-0.851812224641232,5,1,-0.8828846781655635,50719.84381075784,NA
APOBEC3C,16627.407450000002,20772.168899999997,802,-0.353862673332977,0,1,-1.318987345497126,26846.98727576569,NA
TTC7A,16616.2177,20773.657750000002,802,-0.755901973108595,25,1,-1.3379335593151818,38129.047418405506,NA
MEF2C,21568.170700000002,17494.72245,803,-1.08596971243624,55.00000000000001,3.510009126402428e-5,-1.830676690921385,61162.18244540462,MEF2C
EPHX1,15786.492950000002,21503.3351,806,0.188199062097799,0,1,-1.5446750340966133,34944.722882733346,NA
TRIM35,16019.7324,21234.541599999997,808,0.25567587098848,0,1,-1.4555534613769305,37454.07266092894,NA
CD44,19537.9729,18343.84375,809,-0.124993034464342,0,1,-1.589707932318731,33373.27283628918,NA
CCR1,19579.9297,18255.9657,814,-2.14965928605535,0,1,-1.5465661160197126,45341.427135670776,NA
CHEK2,19110.50645,18714.959150000002,815,-0.382588872331306,0,1,-1.3573122101266453,46815.172789273965,NA
