GENE,type
MEIS1,TF
EXOC6B,Other
POLR2D,Other
RAB5A,Other
LRIG1,Other
LRTM1,Other
LIMD1,Other
RNF7,Other
ISY1,Other
EIF2B5,Other
CCNA2,Other
SETD7,Other
SRD5A1,Other
RPL37,Other
SKP2,Other
PLK2,Other
PELO,Other
BHMT,Other
IQGAP2,Other
IL9,Other
PSD2,Other
LRRTM2,Other
GFRA3,Other
RNF44,Other
FGD2,Other
FERD3L,Other
EGFR,Other
IGFBP1,Other
CCT6A,Other
CDK16,Other
NONO,Other
DOCK11,Other
ARHGAP36,Other
MFHAS1,Other
TNFRSF10B,Other
DOCK5,Other
STAR,Other
ERLIN2,Other
ST18,TF
DNAJC5B,Other
CRH,Other
PRDM14,TF
TERF1,Other
UHRF2,Other
PLIN2,Other
IFNK,Other
NTRK2,Other
FAM120A,Other
ASB6,Other
NOTCH1,Other
NRBF2,Other
PPRC1,Other
LRRC4C,Other
TNNT3,Other
SSRP1,Other
PAK1,Other
RPS3,Other
NPAT,Other
ATM,Other
MTA2,Other
MYRF,Other
PIGT,Other
MRPL49,Other
VPS51,Other
ARID5B,TF
HNMT,Other
SPOPL,Other
WDR17,Other
CCT5,Other
DOCK1,Other
USP15,Other
LDHAL6A,Other
ANK3,Other
SLC2A13,Other
DIP2C,Other
AKAP6,Other
MYCN,TF
MSGN1,Other
KHDRBS2,Other
EPS8,Other
POU4F2,TF
ASAP2,Other
BARX2,TF
SLC25A4,Other
PABPC3,Other
FBXW7,Other
MED13L,Other
ZC3H13,Other
PDE3B,Other
TCF7L1,TF
CWF19L2,Other
ZSCAN1,TF
CAMK4,Other
IGSF10,Other
NIPBL,Other
CCNO,Other
HHEX,TF
MED21,Other
ZIC1,TF
SMARCA5,Other
HNRNPU,Other
RANBP2,Other
ATG3,Other
PLEKHG4B,Other
UBP1,TF
RMND5A,Other
VILL,Other
GTF2E1,Other
CFDP1,Other
HOXA10,TF
CEBPG,TF
NEIL2,Other
WNT3A,Other
PPP1R3A,Other
DHX32,Other
LY96,Other
APP,Other
RAB6B,Other
ATP6V0D2,Other
ERCC3,Other
KLF10,SE_TF
C16orf87,Other
RHOC,Other
LONP2,Other
NIFK,Other
GEMIN5,Other
LRGUK,Other
CYP26C1,Other
RBM45,Other
PDIA4,Other
PPIL3,Other
CASP10,Other
FZD7,Other
CSF1R,Other
SMC2,Other
FAM161B,Other
GNAQ,Other
BATF,TF
TIAM1,Other
CD109,Other
PRG3,Other
UBE2L6,Other
KAT6B,Other
AIFM1,Other
BAG4,Other
ATAD2,Other
ZNF689,SE_TF
ZIC3,TF
PDE6D,Other
FANCD2,Other
ZFYVE9,Other
PPARG,TF
GATAD1,Other
DDX19B,Other
KIT,Other
CCNB2,Other
MYO1E,Other
APPL1,Other
PREX2,Other
ZNF618,Other
FMNL2,Other
SMAD6,Other
GRHL3,TF
ERCC6L2,Other
MRAS,Other
PIK3CB,Other
ACTR1B,Other
EIF5B,Other
NCF1,Other
KPNB1,Other
NCOA5,Other
HOXB13,TF
IGF2BP1,Other
CIART,Other
ACTC1,Other
MCAT,Other
RFX5,TF
IRX6,TF
ISL2,TF
GSTT2B,Other
CTBP1,Other
ATP6V0D1,Other
PIP,Other
ZNF235,TF
TNFRSF13C,Other
CALM3,Other
NR2F6,TF
TFF1,Other
PKNOX1,TF
PWP2,Other
AIRE,TF
LRRC3,Other
SHKBP1,Other
PKN3,Other
FXYD2,Other
CXCR5,Other
CCR5,Other
CCDC12,Other
NACC1,Other
ZSCAN21,TF
CPSF4,Other
POLR2J,Other
LRWD1,Other
AP2M1,Other
ZNF585A,TF
FBXO17,Other
ZNF382,TF
CABP5,Other
BAX,Other
STAT5B,TF
ALDH16A1,Other
PSME3,Other
NCKAP1L,Other
CELA1,Other
RAVER1,Other
BCL6B,SE_TF
TNFSF12,Other
EIF4A1,Other
POLR3K,Other
LUC7L,Other
WDR90,Other
SOX8,TF
SLX4,Other
TAF6L,Other
TAL1,TF
GMEB1,TF
DOCK6,Other
LRRC53,Other
LHX8,TF
ZNF281,TF
ARPC5,Other
LRRC52,Other
RBMS1,Other
REL,TF
LRRTM1,Other
MEMO1,Other
NEUROD1,TF
TEKT4,Other
BBS5,Other
HPGDS,Other
IWS1,Other
TGFA,Other
MITF,TF
LRRC58,Other
KRTCAP2,Other
ARPC2,Other
CCT3,Other
FEV,TF
IHH,Other
HDAC11,Other
FABP1,Other
ABI2,Other
WDFY3,Other
ALB,Other
HESX1,TF
TCF23,Other
DNAJC5G,Other
SNIP1,Other
KLF15,TF
SENP2,Other
RHO,Other
UBXN7,Other
APEH,Other
MST1R,Other
WDR82,Other
HMGB2,Other
SAP30,Other
HPGD,Other
GRIA2,Other
IL15,Other
F2RL2,Other
RPS23,Other
TCERG1,Other
RICTOR,Other
TLR3,Other
FOXQ1,TF
TLX3,TF
NPM1,Other
CYTH3,Other
TRA2A,Other
SAP30L,Other
NEUROD6,TF
SLU7,Other
HSPA9,Other
FABP5,Other
CHMP4C,Other
SOX17,TF
RAD21,Other
MED30,Other
GBX1,TF
AP5Z1,Other
DCAF13,Other
NFIL3,TF
ALDH1A1,Other
KDM1B,Other
KIF27,Other
MELK,Other
LRFN5,Other
LRRC18,Other
WRN,Other
PKNOX2,TF
RPL10L,Other
LRR1,Other
NEMF,Other
ARF6,Other
RXFP2,Other
PRDX3,Other
SNAPC4,TF
TSC1,Other
ZMYND19,Other
METTL3,Other
LRRK2,Other
PIWIL4,Other
VPS35,Other
CKB,Other
COPS2,Other
CCT2,Other
TAF10,Other
TPP1,Other
RAG1,Other
POTED,Other
RNF169,Other
LEO1,Other
ZNF407,TF
TMED3,Other
CENPV,Other
HSP90B1,Other
PPP1R16B,Other
POLR3E,Other
PPIB,Other
PEX11A,Other
MESP1,Other
PLK1,Other
STAT6,TF
CCNDBP1,Other
PDIA3,Other
RUNX1,SE_TF
SNRPD1,Other
CRK,Other
NOD2,Other
MED1,Other
NFATC3,TF
CD3D,Other
RAB8A,Other
CDT1,Other
ANKRD11,Other
KMT2D,Other
TUBA1A,Other
CYP2A6,Other
LIN37,Other
AXL,Other
DIP2B,Other
CHAF1A,Other
UBXN6,Other
NLRP4,Other
ZFP28,TF
PELP1,Other
ANGPTL4,Other
RCOR2,TF
PRDX2,Other
TK1,Other
SRRM2,Other
SDHAF2,Other
DDB1,Other
HNRNPUL2,Other
POLR2G,Other
BATF2,TF
SOX7,TF
MFF,Other
LGALS4,Other
NHLH1,TF
ATOH1,TF
ALKBH3,Other
GBX2,TF
HEXIM2,Other
ZNF396,TF
LDHAL6B,Other
KLF13,SE_TF
POLR1D,Other
MAP2K1,Other
BUB1,Other
HOXD4,TF
BCL2L1,Other
CLEC7A,Other
LRG1,Other
AXIN2,Other
CHSY3,Other
ONECUT1,TF
UBTF,TF
OTP,TF
HOXC9,TF
DNAJC18,Other
PA2G4,Other
ARAP2,Other
RPS9,Other
HSPA4,Other
HDAC3,Other
PPIC,Other
TMED10,Other
JUNB,SE_TF
HSPB3,Other
MTBP,Other
PDS5A,Other
PEX6,Other
PPID,Other
INSR,Other
ABR,Other
CTLA4,Other
GP9,Other
RNF139,Other
COPS6,Other
PITX2,TF
HINT1,Other
CD14,Other
RAC3,Other
FOXI1,TF
ANKRD27,Other
COPRS,Other
GSX1,TF
COL3A1,Other
SIX2,TF
ZNHIT1,Other
MAGI3,Other
CALML6,Other
ATOH8,Other
THAP11,TF
UBB,Other
IRS1,Other
TXNDC2,Other
LRRC28,Other
ROBO4,Other
MN1,Other
BFSP2,Other
TRIM56,Other
SRP9,Other
IRX1,TF
GNB2,Other
SOX14,TF
ADRB2,Other
S1PR1,Other
CEBPB,SE_TF
PCBP1,Other
HOMER2,Other
MRPL39,Other
KCTD19,Other
IBTK,Other
SF3B3,Other
UTF1,Other
BRD3,Other
PGK2,Other
ARF4,Other
FGB,Other
PRKCE,Other
ANTXR2,Other
FOS,TF
YWHAG,Other
RFX2,TF
RAB33B,Other
CXCL8,Other
OGG1,Other
PPIH,Other
NEUROD2,TF
LDB2,Other
VASN,Other
ETV5,TF
YEATS2,Other
APLF,Other
KLF11,TF
PATE1,Other
ING2,Other
DNAJB7,Other
BPTF,Other
EIF2AK3,Other
P2RY12,Other
IRF2BP1,Other
RPTOR,Other
MYL1,Other
MCM7,Other
DDIT4,Other
HOXC10,TF
MLLT10,Other
ARNT2,TF
ZBTB5,Other
AGAP1,Other
TADA3,Other
MUS81,Other
ZBTB4,TF
U2AF2,Other
RPL13,Other
EEF2,Other
DST,Other
PABPC5,Other
TADA2B,Other
RGMB,Other
PODN,Other
LEMD3,Other
RPS6KB2,Other
RND1,Other
CLOCK,TF
CBX2,Other
ZCCHC12,Other
TLR10,Other
HLTF,Other
VCPIP1,Other
GMPPB,Other
RBFOX1,Other
UBE3C,Other
RPL15,Other
HOXC5,TF
CLTB,Other
ZDHHC24,Other
TUBB8B,Other
HOXB9,TF
GPRC6A,Other
HCFC1,Other
KLF7,TF
TERT,Other
PRKACA,Other
GLIS1,TF
LRCH4,Other
RPL38,Other
TBX5,TF
NR1D2,TF
ZNF622,Other
PSMD2,Other
FOSL1,TF
RAB1B,Other
RASGRP1,Other
TNFRSF10D,Other
BANF1,Other
SP3,SE_TF
SART1,Other
ERCC4,Other
SEC22A,Other
ADCK5,Other
PSMC5,Other
CCAR2,Other
FBXW8,Other
DDX23,Other
PPARD,TF
MAPK7,Other
ELF5,TF
CASP3,Other
PSMA8,Other
DHX37,Other
ELF4,TF
PROP1,TF
SLCO2A1,Other
ZNF417,TF
WDR49,Other
PPP2R1B,Other
RAD9A,Other
SNX33,Other
RPL4,Other
RAB6A,Other
GSTM1,Other
ISX,TF
SPSB4,Other
PAAF1,Other
PPP1R8,Other
ZNF483,TF
RBM14,Other
ATAD3B,Other
ZMIZ2,Other
REST,TF
CTBP2,Other
GGA2,Other
SRP68,Other
TLR8,Other
TRIB1,Other
ELMO1,Other
MSL3,Other
KMT2E,Other
EVX2,TF
AP1G2,Other
CFLAR,Other
LRFN4,Other
ACAD9,Other
RAB8B,Other
CAMKK2,Other
KCTD2,Other
USP39,Other
HNF4A,TF
PABPC1,Other
ZNF366,TF
HNRNPD,Other
PRKDC,Other
UBA6,Other
ABCF1,Other
KHDRBS1,Other
LCN15,Other
GORASP1,Other
CD46,Other
MSRA,Other
AURKB,Other
SENP3,Other
DNAJA2,Other
PAK2,Other
HIC1,TF
TFE3,TF
VAMP2,Other
DDX10,Other
PER1,Other
UNCX,TF
GAK,Other
ARFGAP1,Other
ZHX2,TF
TOLLIP,Other
BOLL,Other
FOXR1,TF
LRRN1,Other
APBA3,Other
ALX1,TF
DNMBP,Other
CHAF1B,Other
CCNG2,Other
STAT2,TF
COG4,Other
HOXD8,TF
NUP98,Other
HNRNPA0,Other
AGGF1,Other
UBE2N,Other
USP9X,Other
TLK2,Other
SUZ12,Other
ACTL9,Other
BIN1,Other
PITPNA,Other
ARHGEF4,Other
MYEF2,Other
SNRNP200,Other
MET,Other
SNX18,Other
NEUROG2,TF
BBS1,Other
RABGGTB,Other
NEUROG1,TF
PIPOX,Other
SPTBN5,Other
SH2D3C,Other
RBBP6,Other
TNIP1,Other
GYS1,Other
ROCK2,Other
DUOX1,Other
HINFP,TF
SCMH1,Other
PRKRA,Other
NCL,Other
RUVBL1,Other
ZNF513,TF
YME1L1,Other
MAF1,Other
SUMO4,Other
INTS3,Other
RPS15A,Other
HSPH1,Other
TUBB6,Other
BHLHE22,TF
SF3B2,Other
CYP8B1,Other
SHMT1,Other
FMN2,Other
PNMA1,Other
TRAF7,Other
CETN1,Other
SUPT6H,Other
GSX2,TF
