CTRL MM1R	siIRF4 MM1R	LOG2_FOLD_CHANGE	P_VALUE
ABCD2	1.787824833	2.58290943333333	0.530791666470798	0.0511880196832311
ABCD3	15.4518167833333	14.9448258	-0.0481303955706257	0.426704408202829
ABCD4	6.90890099233333	9.27733008566667	0.425253435670433	0.0200530171841484
ABCE1	117.447123433333	107.151915533333	-0.13235373764528	0.032182367289658
ABCF1	15.8953379166667	14.1473392433333	-0.16807294272092	0.00166725620413973
ABCF2	86.5718195733333	75.6877929066667	-0.193836844529024	8.55760768121582e-05
ABCF3	78.6475457166667	78.3428270666667	-0.00560055536542135	0.880070815065261
ABCG2	14.30656873	27.75979512	0.956319220873159	0.000322437812722319
ABHD1	1.40814859466667	1.91317194766667	0.442166960553334	0.319363586251833
ABHD10	27.77124578	24.6570625033333	-0.171590960110099	0.0106170005741147
ABHD11	35.84694049	25.4136151833333	-0.496248372379262	0.0109159677820431
ABHD12	303.3327707	259.809083666667	-0.223449496224715	0.0736492980045496
ABHD13	10.0378763103333	10.0738454916667	0.00516043483234439	0.885204357071471
ABHD14A	18.31002975	15.65439109	-0.226066742264341	0.0913647057653254
ABHD14B	53.9047367666667	63.9371027	0.24624131771996	0.00267030171198971
ABHD15	17.7290554866667	18.7771202566667	0.0828601429017313	0.649022344068695
ABHD16A	4.900759433	5.28634280133333	0.10926465196768	0.0740247515903104
ABHD16B	8.74352183266667	7.844522558	-0.156528861829242	0.28439056691178
ABHD17A	197.8218257	185.066531166667	-0.0961575966547159	0.222721044109418
ABHD17B	25.6677638566667	26.3023009766667	0.0352313992099626	0.531812583629326
ABHD17C	9.17948127833333	6.64659941033333	-0.465796225469647	0.0475086687022716
ABHD2	114.725413866667	149.916136066667	0.38597066340083	0.00578084127238869
ABHD3	91.36458638	69.07647131	-0.403440687503479	0.00664417373780989
ABHD4	62.5351062333333	81.6074769266667	0.384035015159648	0.000897780234554588
ABHD5	10.7750883293333	9.30569867166667	-0.21151331895087	0.231195817708189
ABHD6	6.423806455	6.941835228	0.111888695567388	0.611525764304777
ABHD8	16.7221743833333	17.5498696733333	0.069697863840556	0.233851049447224
ABI1	71.4985205833333	87.6680266433333	0.294137383524733	0.00526919053986544
ABI2	12.6056564833333	12.0427769033333	-0.0659031568625542	0.341690547722241
ABL1	12.38650454	14.63894878	0.241042839976074	0.0368103193657044
ABL2	12.9794967733333	11.73026812	-0.145998460268822	0.0669354534159716
ABLIM1	14.4656307	34.1735097566667	1.24024919995689	0.00162426941583636
ABR	100.200218346667	120.510403233333	0.266272042230339	0.00468607345459872
ABRACL	88.5590961433333	92.7058500833333	0.0660198834548622	0.15394108334673
ABT1	74.7841729766667	70.98308137	-0.0752577731708425	0.241503971351022
ABTB1	23.59754934	48.6085846833333	1.04257408821061	0.000700714115149399
ABTB2	0.998408824333333	0.877369466333333	-0.186446185912759	0.4802042341433
ACAA1	40.9398147766667	46.92185648	0.196755520025363	0.0429287745011371
ACAA2	81.7159312933333	72.6674422133333	-0.169308246348865	0.0653850989074907
ACACA	18.5519590333333	13.6470344	-0.442984062262022	0.0123218770177363
ACACB	11.12357657	7.77912208933333	-0.515941478659782	0.011794995437105
ACAD10	4.59839687366667	5.083455474	0.144678514972234	0.284380651846086
ACAD11	1.905806505	3.12225495633333	0.712186698348416	0.0382429040832697
ACAD8	38.19399566	39.2778465933333	0.0403699808979911	0.435886626257162
ACAD9	97.00527244	79.86857211	-0.280435241513141	0.00413924298239556
ACADM	65.02239896	63.6325801866667	-0.031171162860431	0.68939584279644
ACADS	5.785622833	4.72886056866667	-0.290979672191562	0.0127171666778245
ACADSB	8.78619351666667	12.4405241633333	0.501737092224183	8.2754684095476e-05
ACADVL	250.446831566667	219.045943233333	-0.19327086404045	0.00530546110665884
ACAP1	49.1439496066667	68.3269533233333	0.475440989900572	6.24365361173439e-05
ACAP2	31.8646116933333	34.8774921233333	0.13034122644782	0.111110719732559
ACAP3	35.94761873	29.6733774666667	-0.276727059910827	0.019660454711391
ACAT1	100.467602953333	92.9046822933333	-0.112907147380971	0.0444583179405668
ACAT2	95.22330062	57.2554548966667	-0.733901486719625	2.42499285844075e-05
ACBD3	75.36944296	75.8883969866667	0.00989959050960725	0.86873325046057
ACBD4	14.7881206266667	15.78140964	0.0937873599493402	0.269959634503551
ACBD5	14.6788135666667	18.85830252	0.361464456220653	0.0193615349320256
ACBD6	127.852890933333	122.337203066667	-0.0636215843469565	0.1659969440103
ACCS	8.08745250466667	15.28059001	0.917943009698473	0.000424435423485914
ACD	50.67580717	36.7125187433333	-0.465025066176592	0.00421300484696454
ACER2	0.579433186	0.551806214	-0.0704806114945569	0.732251411650913
ACER3	9.711715329	7.523221924	-0.368375485379676	0.0566724800560425
ACIN1	61.2630827166667	64.5000274666667	0.074281810695809	0.302061520935912
ACKR4	1.31540507866667	1.05159387466667	-0.322929501847876	0.161518465238027
ACLY	136.586924366667	119.916576633333	-0.187788276207701	0.0363087903864776
ACN9	21.12754954	20.1994053466667	-0.0648126253917802	0.560358120297887
ACO1	21.4400239566667	19.8660038666667	-0.110004820464929	0.204576792264648
ACO2	151.417065466667	146.088245866667	-0.0516877086704106	0.411560213863897
ACOT11	0.845610893333333	1.10419608733333	0.384930527082842	0.28634405730526
ACOT13	20.8753985566667	18.93137004	-0.141024921141214	0.101348095602429
ACOT2	1.086018244	1.139081765	0.0688229704273492	0.822586231700788
ACOT7	68.9427507933333	41.7243821033333	-0.72450817805138	0.00299223773166554
ACOT8	41.57619402	46.7576177666667	0.169443731872555	0.0362445710708889
ACOT9	31.7253404566667	25.87756431	-0.293933814214901	0.0451933300914688
ACOX1	8.816574601	10.4603957933333	0.246647283745052	0.0137428691013232
ACOX3	9.52871202233333	12.1381525133333	0.349195726889944	0.00116448291770954
ACOXL	20.6816752833333	20.5488113266667	-0.00929811169625731	0.885067465269989
ACP1	175.109508966667	168.656263633333	-0.0541715297080796	0.0126420857036399
ACP2	35.6440401633333	39.9601219266667	0.164900113076347	0.103931135017617
ACP5	3.22621627866667	11.51961546	1.83617749646506	0.00218322945818736
ACP6	64.4026386066667	83.5095158766667	0.374820804038064	0.00159496684547052
ACPT	0.959661054666667	0.992004041	0.0478210511876896	0.897734155938831
ACRC	3.08911237	5.142117087	0.735170109386209	0.0166887606737739
ACRV1	1.40756566433333	0.978337859333333	-0.52479755018384	0.0122719901222498
ACSBG2	0.827411800666667	0.453003972666667	-0.869081831449869	0.00217262151288654
ACSF2	6.95105518833333	8.14813060566667	0.22923710598465	0.0799004620333305
ACSF3	12.9434616966667	14.731405	0.186671519076199	0.0292273638394568
ACSL1	4.83350688133333	5.601966569	0.212863078248767	0.0135111234635574
ACSL3	42.90006135	34.35357822	-0.320519334938348	0.00176943665135243
ACSL4	33.0354754233333	25.6997282466667	-0.362263002922121	0.0467304565951497
ACSL5	40.0336061	45.2140451333333	0.175559421055918	0.0637426220947425
ACSM3	3.417844959	3.76533658066667	0.139691877446436	0.288073270378689
ACSS1	149.662696766667	253.1854242	0.758479675354902	0.012760313054097
ACSS2	22.6441533233333	26.6801787966667	0.236629737467119	4.05610500433678e-05
ACTA1	0.588142269333333	0.705707693333333	0.262905558130473	0.54102154562485
ACTA2	0.389050729333333	0.573700218333333	0.560338782812977	0.342052326811238
ACTB	5389.92786833333	4730.96611033333	-0.188131139658037	0.0335547404133193
ACTG1	3249.697024	2627.72085366667	-0.306493194598562	0.00797521795469633
ACTL10	3.992044593	4.525535072	0.180960541508104	0.264041252998181
ACTL6A	186.933643033333	156.7018079	-0.254504414229684	0.00325539088770691
ACTL8	2.59192121766667	3.509700066	0.437325877442496	0.445090468938783
ACTN1	2.08387497733333	2.01279024366667	-0.0500718909561899	0.582906205462909
ACTN4	222.8095357	175.7516626	-0.34227264062845	0.00580325401584352
ACTR10	23.24155065	24.2753958066667	0.0627884918245469	0.32857891711243
ACTR1A	62.5888252133333	63.13512779	0.0125378332420129	0.75293190000199
ACTR1B	115.416634933333	106.725018833333	-0.112952756605458	0.0606063354433135
ACTR2	304.694777866667	361.8851364	0.248167079515047	0.0244765092780886
ACTR3	172.306738966667	173.875036433333	0.0130716901773499	0.683887121946657
ACTR3B	9.61554301933333	12.0689092066667	0.327855052159991	0.0403850997248008
ACTR3C	6.486748473	7.27553448266667	0.165557737974699	0.300594251138359
ACTR5	22.0006798666667	18.60862322	-0.241576786785695	0.0145440375198412
ACTR6	20.2803107	22.7332143266667	0.16472193114825	0.0325604983898545
ACTR8	25.24728983	26.4606810433333	0.06772166399267	0.321384708516863
ACVR1	5.13136515066667	4.60680715033333	-0.155575486865662	0.431444953913478
ACVR1B	2.85647875166667	3.626132071	0.344193673620293	0.134378126302717
ACVR1C	1.80075125633333	1.44874210933333	-0.313798107295229	0.173696644081667
ACVR2A	2.83375044666667	3.85816911166667	0.445203667761636	0.142680904990479
ACVR2B	2.13255650233333	1.750109733	-0.285138583627657	0.0148895969462961
ACVR2B-AS1	0.229347739333333	0.113302092333333	-1.01736218348816	0.276185798338433
ACY1	1.955943536	2.58889332166667	0.404470795248635	0.30505033838451
ACY3	6.258103659	11.75609848	0.909611888868898	0.000478286079393345
ACYP1	47.8063095366667	32.4102977933333	-0.560748762939194	0.0038147131430781
ACYP2	27.2322869333333	30.5644642866667	0.166537137546865	0.0758355126876951
ADA	298.368287766667	287.748953133333	-0.0522835264638055	0.259114784892585
ADAL	8.552021972	7.939974811	-0.10713112913069	0.347652735206598
ADAM10	201.498899	186.5485153	-0.111221077720301	0.0802278903824491
ADAM11	1.03437531866667	1.570644305	0.602596742193049	0.0151355701764151
ADAM15	179.722319133333	148.6024843	-0.274311348901956	0.00673445166411781
ADAM17	26.4639711133333	27.76108051	0.0690341563799098	0.452999709742494
ADAM19	0.409116425666667	0.567140014333333	0.471193487322992	0.144539245382434
ADAM1A	4.367218198	3.90234632933333	-0.162372792483561	0.489173468686805
ADAM22	6.234314504	4.54932999333333	-0.454576850045162	0.00588058061831119
ADAM8	271.066718933333	242.125610466667	-0.162892306367245	0.057221867817372
ADAM9	50.9563519466667	48.1684935233333	-0.081172192126549	0.121002791515534
ADAMTS13	0.093555934	0.202895475333333	1.11683562493267	0.0732105394912231
ADAMTS17	0.546823241333333	0.479139204	-0.190629700228178	0.431163501666689
ADAMTSL2	0.331467599	0.441787676666667	0.414485322760645	0.364856493316758
ADAMTSL5	0.515785826666667	0.749491962666667	0.539140877512959	0.335001822565222
ADAP2	0.175164139333333	0.302279896666667	0.787177586849761	0.190095698119354
ADAR	262.1446096	278.391082233333	0.0867501172798036	0.0949639873698001
ADAT1	9.01113384266667	8.71210566	-0.0486871961485476	0.680558491558321
ADAT2	7.96187877133333	9.15431830066667	0.201343551185913	0.0399606070836301
ADAT3	23.1749380533333	25.54101977	0.140250645791294	0.349369136681232
ADC	0.587782258333333	1.19020335066667	1.01785436606632	0.0134304097060952
ADCK1	4.50261761666667	5.15618018933333	0.195538718934145	0.0621471006911262
ADCK2	58.0356176433333	65.7372579533333	0.179772696219019	0.0368750595674642
ADCK3	118.179695666667	150.503078166667	0.348810805192527	0.00142705237371652
ADCK4	18.4170012866667	20.26685106	0.138083772574982	0.245765971069746
ADCK5	26.23646124	26.1834196333333	-0.00291961323605384	0.975734791755539
ADCY1	8.77087421333333	5.511194646	-0.670355564990927	0.00933410406644928
ADCY3	110.091619766667	97.77162659	-0.171216894671046	0.0844527493400609
ADCY6	17.90918373	15.54194589	-0.20453243921151	0.178683222796194
ADCY7	71.90892727	101.309228113333	0.494522800156777	0.00598913955783512
ADD1	91.2724063966667	91.8180812566667	0.00859951552330046	0.889233856263913
ADD3	38.6749153166667	32.3018446633333	-0.259781577383271	0.0117231199744865
ADH5	24.57080538	25.1081271366667	0.031209272210113	0.552021179783348
ADI1	240.905362066667	233.080700966667	-0.0476369508467218	0.0948023937010809
ADIPOR1	195.955948233333	173.072425733333	-0.179153476769855	0.00131078622616306
ADIPOR2	81.22826177	69.80183963	-0.218716712794447	0.0459487291777437
ADK	30.9737652	36.33249997	0.230213869224361	0.0463296613620524
ADM	269.819906433333	226.743786133333	-0.250933775015275	0.0973213091924772
ADM2	1.64282534433333	1.26815820666667	-0.373444372085069	0.0819173495622085
ADM5	0.785889588	0.366000279333333	-1.10248188855826	0.00248157504888953
ADNP	53.28574149	51.03038998	-0.0623928728551959	0.372890960172413
ADNP2	14.9222390866667	12.3184292866667	-0.276645717842648	0.0529095936785528
ADO	26.7177615233333	25.53608999	-0.0652614997186128	0.324478678304373
ADORA2A	4.270230014	5.027597915	0.235555491964525	0.193846585247905
ADORA2A-AS1	3.16230364033333	2.95775518966667	-0.0964732530675299	0.673274431568145
ADORA2B	0.339839437333333	0.53946601	0.666678780441307	0.152071591067934
ADPGK	103.813709233333	114.400438633333	0.140095610744109	0.0566461467019339
ADPRH	1.44159029166667	2.21953242633333	0.622594585394919	0.0332347775117973
ADPRHL2	55.8622522	54.2277645733333	-0.0428420404869282	0.554215568404797
ADPRM	5.581291912	8.13350254866667	0.543277653139962	0.0320150055334589
ADRBK1	283.554484533333	288.7104777	0.0259974925986184	0.396289721477077
ADRM1	392.2195126	326.209164166667	-0.265863998084123	0.0063423728238977
ADSL	172.2217463	164.760071833333	-0.0639006618516932	0.0874512242683487
ADSS	87.6078731066667	85.7199097366667	-0.031430196297203	0.283922480207928
ADTRP	20.6505508866667	41.04866871	0.991155164921888	0.000779501506287424
AEBP1	1.25258141733333	0.794052415333333	-0.657598233314721	0.0204411317082164
AEBP2	10.8620659266667	10.0447359376667	-0.112858886658068	0.180157047866553
AEN	90.7967185733333	87.29544901	-0.0567337154068366	0.333888569878153
AES	51.39530557	49.4414516766667	-0.0559154865571255	0.483260517071328
AFAP1-AS1	27.19213032	23.7931396866667	-0.192643522251713	0.0668251626509871
AFF1	39.0436515466667	38.7809584133333	-0.00973952893017595	0.812014016373113
AFF4	26.5219199666667	28.5366111866667	0.105628801994959	0.0846900466124268
AFG3L1P	10.6414336176667	10.0474244306667	-0.0828667977670335	0.397814878587084
AFG3L2	112.291050366667	99.7328173533333	-0.171102738491715	0.0600529752989083
AFMID	18.9961425833333	25.1661247433333	0.405776587196752	0.0018109124147201
AFTPH	52.1358734566667	58.25186824	0.160027921894	0.0340550704428747
AGA	23.9803801633333	23.6458547766667	-0.020267235236453	0.671163926265202
AGAP1	18.8974582133333	22.7394017966667	0.267002102868207	0.0245071337734114
AGAP2	18.4960934	20.6204801166667	0.156857335898941	0.0679619669309885
AGAP3	53.9563117833333	46.1854515266667	-0.224353262843098	0.00195056419169761
AGAP4	3.85350491833333	4.41418050733333	0.195974394068047	0.178033521023863
AGAP5	8.63407177833333	10.50136191	0.282463449911334	0.0840478462026925
AGAP6	27.8238518433333	27.85031901	0.00137169723006747	0.982623600775797
AGAP7	1.21173640733333	1.90868948433333	0.655506517449765	0.0350802068144185
AGBL3	2.928042783	5.09556644833333	0.799305898745406	0.0114380011495555
AGBL5	37.8325596033333	31.64119938	-0.257824099675333	0.0135219508997084
AGER	0.832774295333333	1.30885972866667	0.652313047248535	0.0120315832657831
AGFG1	27.89189086	24.93234228	-0.161827317708401	0.0424961623579312
AGFG2	4.03903917433333	2.56900052133333	-0.652804955689914	0.0211042550625181
AGGF1	28.1944757233333	29.6555487033333	0.0728895493088768	0.158038774975659
AGK	65.2256650033333	56.6615156966667	-0.203070553652765	0.000619024363567573
AGL	2.99588773333333	3.73676706933333	0.318807074551551	0.0909671368649825
AGMAT	28.5108624933333	33.3928115066667	0.228025882704263	0.0976191273818222
AGO1	11.94144462	12.62702771	0.0805377038645218	0.268885659792133
AGO2	23.35393104	18.54591618	-0.332563871723256	0.00319911366613728
AGO3	7.04447190733333	8.19317537966667	0.217931138707806	0.0804255972027111
AGO4	5.152149998	11.0679018733333	1.10313525703374	0.00234702431121412
AGPAT1	4.121428887	4.46737469133333	0.116282660458364	0.0113426395907424
AGPAT2	0.420248785	0.294396107	-0.513485054644439	0.622599870450598
AGPAT3	69.9628532566667	71.90103803	0.0394234717973419	0.0821270080474986
AGPAT4	0.655355988333333	1.09573449666667	0.741547572254987	0.092496917084864
AGPAT5	49.2799441266667	53.05610038	0.106518021155728	0.137003067526622
AGPAT6	38.9715892266667	40.4680288166667	0.0543598130307369	0.283200703555297
AGPS	26.1061595	23.4978114133333	-0.151863846728594	0.0792534289334981
AGRN	0.371248256	0.454476145	0.29182032215045	0.123724440259117
AGTPBP1	35.3987285066667	33.42370445	-0.0828259003101482	0.100774046564811
AGTRAP	91.7558445766667	111.8482241	0.285670388389473	0.000589114762113405
AHCTF1	54.0135547566667	44.9915106233333	-0.263668691217801	0.0248863128551851
AHCY	203.7346665	166.953028866667	-0.287249216109367	0.000953273139954778
AHCYL1	24.17846218	22.9025712233333	-0.0782129121930858	0.460166742515004
AHCYL2	11.08208471	10.4476543073333	-0.0850502331685348	0.249439995169775
AHDC1	2.40024968733333	3.30407877966667	0.461063594761654	0.0877076555093514
AHI1	6.09810120166667	5.573624103	-0.129744385623366	0.344970569001488
AHNAK	15.1837263866667	7.308948459	-1.05479013492172	0.0137013402577536
AHRR	0.319597553	0.690675373666667	1.11175142233466	0.0711063367156001
AHSA1	176.370651866667	141.182816733333	-0.321046006106364	0.0006077312047366
AHSA2	65.5444695	86.1570818233333	0.394495331912804	0.00192174098462353
AIDA	41.5249544733333	40.5992123233333	-0.032526848910396	0.501824447462891
AIF1L	0.138670437	0.293867978333333	1.08350790875613	0.0312355702456698
AIFM1	57.3510546033333	50.26987261	-0.190125982497575	0.00549100300351482
AIFM2	34.5017603033333	20.8683483566667	-0.725353549373805	0.00514425257577701
AIG1	9.80013418366667	8.321729887	-0.235918041721039	0.000331726441387755
AIM1	0.281787745666667	0.513942379666667	0.866997748262895	0.0123873257426936
AIM1L	0.323778909666667	0.252437891	-0.359080538815768	0.277573852837721
AIM2	25.5579105333333	52.2587248466667	1.03190202749252	0.00110265509519331
AIMP1	53.41822778	50.0189788766667	-0.0948565078530126	0.11063067939964
AIMP2	69.2280220833333	66.8900573033333	-0.0495643482515767	0.508830676545356
AIP	127.7541448	138.784257533333	0.119473832454778	0.0642206740641287
AJUBA	0.156167949	0.195056703666667	0.320795187911327	0.660998759087578
AK1	4.75265014133333	4.68370253433333	-0.0210827518417402	0.79887825576718
AK2	101.935226403333	88.1292321233333	-0.209960158982535	0.00246711404499778
AK3	49.8935534433333	51.59849706	0.0484756215737101	0.291040296392198
AK6	36.4888347133333	32.8040412533333	-0.153581521744922	0.0541449958565175
AK7	0.321768618333333	0.287681861333333	-0.161549368396962	0.661077719119731
AK9	1.289306364	1.94572930366667	0.593715895009894	0.0288135447114285
AKAP1	59.71520689	52.33017167	-0.190455378791579	0.023479725981317
AKAP10	23.50492303	25.0477977033333	0.0917208055751813	0.104399096385763
AKAP11	17.4932404433333	19.2966761033333	0.141554802897102	0.137782725184395
AKAP13	19.74005241	28.6664329666667	0.538236577559465	0.00228561981823377
AKAP2	0.761271164	1.35224631066667	0.828875624527035	0.00158009419893769
AKAP3	0.439585410666667	0.936974908	1.09186690762269	0.00283680093371231
AKAP5	2.19430580933333	2.09403923733333	-0.0674761256757564	0.547499439908939
AKAP6	1.03934336	1.500919731	0.530174478641745	0.00290763979640251
AKAP8	54.7496412266667	55.4745850366667	0.018977459962024	0.806698584546017
AKAP8L	45.4889149033333	48.05751201	0.0792469396368947	0.282171534840187
AKAP9	27.97113191	33.9874750266667	0.281064549536912	0.0151468502350306
AKIP1	41.0834095633333	37.6226725966667	-0.126953580650764	0.106203113064873
AKIRIN1	67.5427059366667	72.5285570366667	0.102749167999087	0.188860202537185
AKIRIN2	61.6603765466667	75.4321667933333	0.29083616831725	0.00871792296335139
AKNA	67.8645895833333	97.88918219	0.528490434569586	0.000767634259405153
AKR1A1	134.203903566667	163.993587766667	0.289212770251056	0.00907613544880088
AKR1B1	577.523860233333	529.879561433333	-0.12421607161441	0.0134284683592087
AKR7A2	40.5862859533333	35.80180502	-0.180959999512654	0.00781474744034377
AKR7A3	0.791680623333333	1.12964978433333	0.51288512909301	0.185118513775442
AKR7L	0.633177748	1.015615466	0.681671809607728	0.146664503988539
AKT1	62.7540245366667	51.06356933	-0.297413599575042	0.0117605022588525
AKT1S1	38.62879551	43.79156611	0.180976352168981	0.0561484214961026
AKT2	94.1791004833333	95.8179935666667	0.0248896603460723	0.470057907015493
AKT3	9.134210274	11.1250445266667	0.284459203547254	0.0489124976952424
AKTIP	28.9136417233333	27.97901586	-0.0474051124769882	0.50904725484678
ALAD	26.30607377	29.4822166366667	0.164449058653829	0.0158422026950628
ALAS1	49.2280650966667	48.51889031	-0.0209344812000051	0.535956981684976
ALCAM	7.06917882033333	5.59264449366667	-0.338012010665795	0.0355294634263005
ALDH16A1	70.7660716033333	61.85956091	-0.194061241051083	0.0415158968075037
ALDH18A1	69.5627339766667	65.7929885766667	-0.0803807879056328	0.176411078220764
ALDH1A3	0.955584381	0.978522356666667	0.0342215398455763	0.908937743399311
ALDH1B1	55.4588767333333	46.3183973366667	-0.25983306077581	0.00201553365087827
ALDH1L2	7.459931478	3.726041307	-1.00151871077176	0.000159747893635744
ALDH2	0.198747958333333	0.318678487333333	0.681161591844284	0.170260533238288
ALDH3A2	38.6984619633333	34.6843365266667	-0.157991941179747	0.0611110132912428
ALDH3B1	7.46922508533333	13.4158022866667	0.844902853025973	0.00329301939468299
ALDH4A1	13.4291278066667	11.8528951466667	-0.180126118022543	0.0605301891139117
ALDH5A1	29.7074537133333	20.24276348	-0.55341869834704	0.00106057330199459
ALDH6A1	9.04603418566667	10.9175601366667	0.271293124718117	0.100091917802785
ALDH8A1	1.75352915766667	2.175523404	0.311101117378965	0.0465267395630719
ALDH9A1	101.198614733333	107.868802666667	0.0920881336337389	0.164490969135353
ALDOA	835.747908966667	632.217794233333	-0.402646198714391	0.00235454092177372
ALDOC	35.4540644	45.2057589666667	0.350555550503211	0.00399945005976669
ALG1	34.4465710666667	37.49260657	0.122245749386303	0.0454985332990059
ALG10	13.93993145	11.0216092266667	-0.338888584578829	0.0275770589779152
ALG10B	7.19974607833333	6.40348443566667	-0.169088869587703	0.0914772238822608
ALG11	5.91536198166667	6.026504089	0.0268548978843665	0.854146118460338
ALG12	27.3738666666667	28.1468122033333	0.0401723021575767	0.58407983591163
ALG13	11.8828427066667	13.7121373633333	0.206573456812226	0.0243305508040235
ALG14	9.12180391566667	9.83449205933333	0.108531382786232	0.559501556867737
ALG1L2	0.661091165666667	1.563488144	1.24184713846542	0.0937802486116825
ALG1L9P	0.906450755	1.21026566766667	0.417023221414	0.0440389706524283
ALG2	62.1108875	66.3022619566667	0.0942119073716031	0.0884981755907917
ALG3	198.345249533333	167.122808566667	-0.24710520184093	0.00582012041998292
ALG5	78.81278027	64.84552309	-0.281422621084927	4.56441362860818e-05
ALG6	23.238774	20.7658966	-0.162317795266603	0.00646848153836454
ALG8	95.7613069133333	83.4712426	-0.198163593925568	0.0124685701184306
ALG9	15.76873015	13.4066537066667	-0.234117298816382	0.00269254125820139
ALKBH1	7.091155941	6.663208563	-0.0898037710705018	0.511205599938682
ALKBH2	66.50587671	62.07889508	-0.0993789484777851	0.146212823025572
ALKBH3	30.82013202	31.8524340666667	0.0475305813433136	0.596782338347384
ALKBH3-AS1	0.998785266333333	1.18665849633333	0.248658362822975	0.610239526967648
ALKBH4	13.8530685033333	14.5350703533333	0.0693324808007908	0.332874218300424
ALKBH5	77.6489708333333	72.45564232	-0.0998687623406661	0.00851323256504183
ALKBH6	45.9859068466667	37.1166056433333	-0.309127010423624	0.015111338701921
ALKBH7	88.31263951	94.2568212433333	0.0939770936046156	0.19384095735249
ALKBH8	11.2904813533333	9.71465244233333	-0.216872707578372	1.41493957387041e-05
ALMS1	10.2063601746667	7.94553222266667	-0.361252694090212	0.00376876551621919
ALMS1-IT1	1.02416845866667	0.641060034666667	-0.675921658868933	0.291584065477296
ALOX12	4.848956163	6.85685408966667	0.499872611615744	0.0349317863892711
ALOX12B	0.0453214176666667	0.192943404	2.08991282959168	0.0203957476563066
ALOX12P2	15.4014521266667	15.5487557	0.0137327503945859	0.768484111923974
ALOX15P1	4.70969445133333	8.92393496733333	0.922046534246854	4.71859443667119e-05
ALOX5AP	6.3301919	22.6223532933333	1.83742787289678	0.00247576469052505
ALPK1	0.980444269333333	1.16145802166667	0.244429480249013	0.358583652044857
ALS2	9.46850278166667	7.722519759	-0.294064658681205	0.0383335971079454
ALS2CL	0.185489586333333	0.301288567333333	0.699807735573152	0.183709441781903
ALS2CR12	1.34388085666667	1.67233503666667	0.315458666853193	0.185680856707451
ALX3	1.85592137566667	1.637422523	-0.180708948289321	0.596012799409714
ALYREF	387.9041164	275.045413966667	-0.49603023761291	0.00509317609594727
AMACR	1.32830176233333	1.60965571066667	0.277169209218807	0.216556210473977
AMBRA1	18.93492858	19.5773289033333	0.0481339599880263	0.312275932655669
AMD1	138.0171824	124.4774973	-0.14896292657181	0.0377590333139264
AMDHD1	1.592066555	1.934086251	0.280751485758709	0.301884674597241
AMDHD2	60.0062047333333	62.3757576966667	0.0558737500894386	0.0589596036957341
AMER1	5.63638037266667	5.87296470466667	0.0593199919539754	0.327708288727714
AMFR	46.8557107133333	45.3515805733333	-0.0470720606006799	0.395808141946841
AMH	17.0936671633333	15.60460976	-0.131489657760053	0.288331924477823
AMIGO1	0.923924821	1.019717011	0.14232146444199	0.647146188104208
AMIGO3	16.2695472333333	15.5287381166667	-0.0672335032712881	0.509453146226809
