siIRF4 KMS12BM	CTRL MM1S	LOG2_FOLD_CHANGE	P_VALUE
ABHD6	15.10119849	8.76810621266667	-0.7843258723602	0.00168555840397674
ABHD8	11.5246360466667	16.2186272933333	0.492930527991793	0.0121734737833986
ABI1	43.8911538933333	93.4344711166667	1.09002470785074	1.44797693555362e-05
ABI2	18.4197311833333	18.6021803233333	0.014219719603959	0.852245601466912
ABL1	46.4406773433333	13.25507105	-1.80884461087402	0.000115851954202621
ABL2	8.21872706366667	12.1204380933333	0.560454977753992	0.000606436739092607
ABLIM1	18.2904954866667	32.7221347633333	0.839172713507969	0.0112957337304549
ABR	26.1318653666667	64.9397121433333	1.31329087764169	0.00334291209546473
ABRACL	105.427570333333	138.7038121	0.395755243790536	0.0120469125112619
ABT1	125.436596866667	68.8891858666667	-0.864608890882316	0.000224251635498046
ABTB1	31.77935632	23.62875149	-0.427546502338916	0.0405900718222471
ABTB2	0.335656391	0.737489109333333	1.13563663289021	0.0416494243076997
ACAA1	118.0211366	31.92487689	-1.88629229568802	0.000150527012154749
ACAA2	172.876921566667	114.6673914	-0.592290104838112	0.000351508629999533
ACACA	22.8072783166667	13.31442654	-0.776504002195616	0.000776912553693471
ACACB	2.61769966166667	7.79181604833333	1.57366003716278	0.000242879833207677
ACAD10	12.4291451666667	4.731653352	-1.39331078759431	3.73560988472162e-06
ACAD11	4.016365857	1.231389417	-1.70560361792214	0.000860020134861721
ACAD8	52.2209907233333	34.4156992666667	-0.601563005069086	0.00746942228661259
ACAD9	70.7491050566667	76.8869446566667	0.120026751850461	0.00151444678700713
ACADM	108.919941166667	87.12545311	-0.322101949137888	0.00496947281024977
ACADS	26.98328634	7.89485385266667	-1.77308160257474	0.000263775755260509
ACADSB	16.0164709266667	10.9295273573333	-0.551325285327599	0.00321408032155706
ACADVL	164.0550469	238.9567077	0.542569288898289	0.00327972055124393
ACAP1	108.364355433333	59.75481466	-0.858763419315126	0.012105138722636
ACAP2	45.1981185433333	42.33757857	-0.0943239599240144	0.158327991346705
ACAP3	76.24411866	27.45100111	-1.47376729103825	0.00227067890824162
ACAT1	256.632069066667	137.774666266667	-0.89739083016645	0.00166167545541695
ACAT2	150.765880233333	60.0798721833333	-1.32735632108933	0.000759560461684499
ACBD3	41.4781554833333	73.4291476433333	0.82400111392319	0.00220070343248385
ACBD4	32.0041700433333	11.0556528766667	-1.53347567193588	0.00318557124004258
ACBD5	10.1954339133333	19.5743490733333	0.941041155691247	0.00129711327047758
ACBD6	91.8944848333333	132.4595972	0.527502192208262	0.000652210687466519
ACCS	2.03249685866667	3.30973294266667	0.703461690313896	0.113881122623554
ACD	28.7443494566667	38.2458648566667	0.412025392047661	0.0164705994463332
ACER2	1.442080825	0.347680331	-2.05231866804471	0.0273598004028562
ACER3	5.25389182966667	12.35518049	1.2336576835513	0.000873449426506661
ACIN1	112.160026533333	50.5511809133333	-1.14974189568687	0.000156007079643353
ACKR4	0.577600961666667	1.38601644933333	1.26279933024556	0.0385424819079566
ACLY	185.155639533333	109.843121666667	-0.753293960683919	0.00503172920807756
ACN9	60.8221773033333	19.8269337966667	-1.61713587832181	1.85421080772668e-06
ACO1	38.5549275266667	18.62284362	-1.04984187367769	1.93532711610059e-05
ACO2	92.15611144	135.966743366667	0.561102072100891	2.70176573189512e-05
ACOT11	1.11816117933333	0.595726048333333	-0.908407215088273	0.199553649414707
ACOT13	29.9698206733333	20.2303813433333	-0.566986936403453	0.00105535119269764
ACOT2	18.5456625466667	0.193463400666667	-6.58287733536231	0.00256462760504642
ACOT7	109.059125866667	73.1012057366667	-0.577143389687348	0.007913814024191
ACOT8	66.6060980033333	36.8498749733333	-0.853994542273949	5.06812399729313e-05
ACOT9	58.7373252433333	31.6174026733333	-0.89355871316594	0.00197709709227592
ACOX1	5.46092856433333	9.60067785933333	0.813989986726348	0.000354903471834
ACOX3	5.15787648233333	13.0918884433333	1.34382408439145	0.000253330656579137
ACOXL	0.936565156333333	27.4529952833333	4.8734403886349	4.79942216871296e-07
ACP1	163.339366433333	207.429720166667	0.344750078927379	0.00190525964186262
ACP2	35.7927461566667	25.70965278	-0.477357111012124	0.0020763316441136
ACP5	39.86423451	0.463634382333333	-6.42596359779013	0.00111088600636651
ACP6	24.01260945	50.1220741466667	1.06165392761579	0.00011166665112265
ACPT	2.69548886133333	0.437779517	-2.62227058805181	0.00010825795767177
ACRC	2.49234349266667	1.83274996133333	-0.443492937968637	0.0744204522427829
ACRV1	1.749481319	1.51984348766667	-0.203004495857217	0.51361782964378
ACSBG2	1.250005331	0.562653330333333	-1.15161603953973	0.00994889362327512
ACSF2	25.30398113	5.68875649933333	-2.1531791505357	0.00667671687024203
ACSF3	9.063202038	11.43660038	0.335565512330582	0.00781586545706653
ACSL1	7.35030883233333	7.39360858633333	0.00847380220402364	0.900828992417432
ACSL3	48.97212314	39.0061596966667	-0.328258777485499	0.0423667201582473
ACSL4	33.1844984333333	31.0910073266667	-0.0940121090641995	0.372024449974002
ACSL5	8.271243075	48.7025403866667	2.55782095540908	1.02352360663148e-06
ACSM3	8.64711146333333	4.841304569	-0.836822428351774	0.0158564147852629
ACSS1	285.765304	138.336638	-1.046647463135	0.000548267341336888
ACSS2	17.43403984	12.4804073633333	-0.482241886644193	0.0387442966903605
ACTA1	0.410571946	0.855536976333333	1.05919515658325	0.304649787773539
ACTA2	1.567829723	2.21670960666667	0.49965090524495	0.663637752623891
ACTB	2755.90288166667	5113.31990333333	0.891735239612067	0.000472526672955909
ACTG1	1539.19813433333	3508.682871	1.18875060147209	1.85059586394708e-07
ACTL10	12.4513554066667	2.741101097	-2.18347535349273	0.000238924874028445
ACTL6A	129.448256433333	247.4010041	0.934475822242054	0.00165888599395524
ACTL8	326.502457333333	0.429818613333333	-9.56915017437689	0.000135135037683177
ACTN1	0.978762153	4.395062484	2.16685345496693	0.00439373977802138
ACTN4	128.1699848	151.558021633333	0.241811765611403	0.0038425166165017
ACTR10	36.6973388566667	28.7884984666667	-0.350182904786888	0.0119491950814146
ACTR1A	60.2602605033333	69.4204947733333	0.204154737896555	0.0181332092286734
ACTR1B	112.405799833333	105.797214366667	-0.0874148347253993	0.166300159714356
ACTR2	340.977508433333	352.908107266667	0.0496159938556767	0.415718375587381
ACTR3	143.143426966667	215.2785817	0.588743366908602	4.54236975459628e-05
ACTR3B	31.6799997033333	10.3963193533333	-1.6074994657094	4.2943781411461e-05
ACTR3C	5.895518856	5.82949756266667	-0.0162472436290101	0.815813805314635
ACTR5	16.32229866	19.46795166	0.254256851905981	0.00213652297071625
ACTR6	49.89768156	29.22600131	-0.771720330229091	0.000565339902127756
ACTR8	32.9269725366667	24.49899006	-0.426547592580878	0.00117546694789636
ACVR1	0.574284412666667	6.23496647666667	3.44054449371279	1.33162872534685e-05
ACVR1B	9.43565042666667	2.03299825333333	-2.21451299471397	0.00420994405555006
ACVR1C	1.732424215	3.65814532533333	1.07832014649599	0.00131454688370524
ACVR2A	3.613481698	2.65373226066667	-0.445366764961583	0.0019582739066905
ACVR2B	9.68927226333333	2.77766793833333	-1.80251417267503	9.24209692086776e-07
ACVR2B-AS1	0.706465419	0.187749194	-1.91181222903107	0.0217680972891771
ACY1	3.98303859733333	1.254101081	-1.66721582552902	0.0102041042443918
ACY3	134.0158945	2.549996195	-5.71576521219548	0.000245690561436952
ACYP1	83.18222109	40.38381955	-1.04249783867206	0.000461946017955
ACYP2	2.093144908	29.6956109733333	3.82650561805831	0.000167493528807851
ADA	43.7083219066667	266.826320333333	2.60992108922657	0.000294838986064211
ADAL	4.781374974	8.877930296	0.892797829689201	0.00346489479687924
ADAM10	91.7766078266667	226.675736166667	1.30443158121047	0.000620342710394377
ADAM11	4.518164489	0.877709707	-2.36392102669776	0.000329435291524272
ADAM15	135.9538706	135.834256233333	-0.00126986463140367	0.969214856711309
ADAM17	32.62567942	27.4163394633333	-0.250971985461322	0.00255198841800157
ADAM19	9.760482453	0.232495562	-5.3916773781768	0.000516153835963431
ADAM1A	3.94998429766667	4.48312374	0.182657402012981	0.298705034659667
ADAM22	13.2084551	4.25080148266667	-1.63565494443038	0.000124501550885983
ADAM8	15.16573254	278.715171	4.1999044429613	0.00108770881162739
ADAM9	31.23472965	47.63386783	0.608836656269765	0.000557345159506379
ADAMTS13	4.12499442166667	0.0996585196666667	-5.37125521383563	0.0101569130984112
ADAMTS17	0.116309954	0.445947179	1.93889826736247	0.0197321812303295
ADAMTSL2	0.431472049666667	0.561348928666667	0.379630707849117	0.502125665257165
ADAMTSL5	8.40085039533333	0.219036939666667	-5.26128927543392	0.00170652381454943
ADAP2	4.226780824	0.194377912666667	-4.44262310596438	0.00499797950119747
ADAR	117.222016433333	225.095882466667	0.941296107087338	3.69329521069092e-06
ADAT1	7.568138603	8.03706416233333	0.0867300889646145	0.139947959208643
ADAT2	18.75103075	7.084203292	-1.40429238505665	0.000930335064947425
ADAT3	16.0606691566667	11.9152264833333	-0.430725628618262	0.0537725403223351
ADC	0.226500149	1.09900122866667	2.27860909475767	0.0209031158449921
ADCK1	10.7210424933333	3.944231727	-1.44262897858764	0.00163804408502976
ADCK2	59.12098277	42.5881613033333	-0.473217807176261	0.016713869173548
ADCK3	148.3285381	112.292553	-0.401533941515255	0.000724233430427929
ADCK4	19.3163581966667	10.5085978906667	-0.878252931167536	0.000582438776193419
ADCK5	61.78681626	16.4962325266667	-1.90516246260288	0.00118553345698554
ADCY1	0.158546784	14.4884780033333	6.51385362552699	0.000198892446709376
ADCY3	34.96167733	102.405449303333	1.55044618083981	0.000628699847919494
ADCY6	5.28334455566667	12.4140888833333	1.23245497651569	0.00195356945607807
ADCY7	28.04138415	63.9128924833333	1.1885494164633	1.06891651696521e-05
ADD1	78.88183586	94.0980096466667	0.25447107877481	0.0077907604447052
ADD3	84.88845482	52.1981118966667	-0.701570731882574	0.0123914095397852
ADH5	91.0175315266667	19.33323799	-2.23506117493644	7.31985564943001e-05
ADI1	127.4247012	261.1685096	1.03533598412665	3.0339867693807e-05
ADIPOR1	107.927194233333	211.000565533333	0.967188441644782	2.91124136337382e-05
ADIPOR2	89.7730470766667	82.2353862333333	-0.126523038567319	0.174911870357325
ADK	28.43084236	33.3517462466667	0.230305456328095	0.0175686981468395
ADM	11.54328886	336.476587833333	4.86537989146483	0.00077667276023015
ADM2	0.185119341666667	0.977284020666667	2.40032226372238	0.00155829414933025
ADM5	9.034867549	0.570169796666667	-3.9860399281462	0.00170630872816576
ADNP	63.9258804433333	52.6467478433333	-0.280055711513095	0.037557773941558
ADNP2	32.3289783433333	12.6369330266667	-1.35518155121265	0.00182460040899025
ADO	23.3382910933333	26.8934920666667	0.204558172444734	0.0167867119696976
ADORA2A	2.19389353133333	3.37567848533333	0.621683987783379	0.0270057094672645
ADORA2A-AS1	1.340633683	1.90914880866667	0.510014471364764	0.0258546692675572
ADORA2B	4.38772671766667	0.54903852	-2.99849439670197	0.00632880675112861
ADPGK	55.0579379	125.8241501	1.19238637053965	2.48927454015182e-06
ADPRH	7.51242498733333	1.42769240066667	-2.39559349921079	0.000130694676128952
ADPRHL2	25.9402509066667	55.5866967766667	1.0995472187971	0.000101630933367577
ADPRM	3.718237814	7.39858200233333	0.992629746902103	0.0047008757349336
ADRBK1	470.786402233333	317.2839007	-0.569298332150875	0.00208545057835653
ADRM1	318.984760066667	350.1994672	0.134689389922786	0.115818980080708
ADSL	153.943185266667	189.846066433333	0.30243210316521	0.00426518850122857
ADSS	92.9973790533333	98.7284731566667	0.0862761586721005	0.286823972248411
ADTRP	0.393639209	16.2101800566667	5.36388237608997	0.000962561854195197
AEBP1	1.92573060166667	2.520568815	0.38834344966169	0.196171618727549
AEBP2	23.9067807	11.9011265366667	-1.00632172643187	0.00810031243324729
AEN	27.3350496266667	71.9337776166667	1.39591737476521	1.39618853605775e-05
AES	635.1204064	70.0369006266667	-3.18084297847314	0.000161220514918037
AFAP1-AS1	0.127042365	25.0525701233333	7.62350513090988	5.11548218809843e-05
AFF1	17.7371835533333	40.6684491433333	1.19713303031206	8.76937582697702e-05
AFF4	10.3005457666667	23.0133447466667	1.15974989974724	0.00168770569521557
AFG3L1P	10.49325402	7.42933123533333	-0.498157880622973	0.00165570182795292
AFG3L2	152.014393233333	115.6770672	-0.394105048620628	0.000230170740239251
AFMID	35.62615682	21.0189677633333	-0.761245040181472	0.000909770079271941
AFTPH	32.9823892966667	60.9171999466667	0.885153716326876	0.000286421801148632
AGA	10.1202676893333	32.9047271	1.70104740572436	0.00158169496008252
AGAP1	2.66648482766667	17.35551205	2.70238290628143	1.14547740588279e-06
AGAP2	33.01052454	14.6443353666667	-1.17258334531601	0.00172101437715598
AGAP3	124.8122099	43.7720897766667	-1.5116759062334	1.43048274235327e-05
AGAP4	1.498364853	3.575061411	1.25457906022043	0.00132056857587086
AGAP5	3.835023535	6.65265829433333	0.794695501982722	0.0017290422833818
AGAP6	7.09075199966667	19.7940823733333	1.48105864387171	0.000764466557998307
AGAP7	0.889944504333333	0.47851803	-0.895142089686152	0.124826380012901
AGBL3	2.09037874733333	2.61575546033333	0.323463311500807	0.260194856818157
AGBL5	30.6357018733333	34.4820526233333	0.17063175243703	0.0466552396951368
AGER	2.42955939666667	0.426846686333333	-2.50890481858385	0.000777518549569585
AGFG1	12.6173941	35.2769657033333	1.48331249703084	0.000747332716659576
AGFG2	6.80370156766667	4.150993861	-0.712863062814993	0.00572901012608065
AGGF1	25.9417153533333	37.0680928666667	0.514904012602254	0.0021475358879429
AGK	57.8889162066667	70.0720621766667	0.275552207706146	0.00718201372619774
AGL	7.99541070766667	4.12858020333333	-0.953526412041146	0.0054536640028294
AGMAT	18.64049821	29.92304388	0.682816518999698	0.00932260065893332
AGO1	7.855345747	11.8708227066667	0.595673243197396	0.000422591045636835
AGO2	33.35432694	18.1360857266667	-0.879010813705361	0.00306506418941884
AGO3	7.934106455	6.34936607366667	-0.32145519569098	0.000852396049173736
AGO4	8.764016458	7.04360710133333	-0.315277756975084	0.115121264183927
AGPAT1	10.59977265	4.66811345066667	-1.18312179250325	0.00040541400979873
AGPAT2	67.7710071566667	1.09874084766667	-5.94674515863686	0.000482559227737955
AGPAT3	77.57852542	80.1287111566667	0.0466619176278839	0.284285473239123
AGPAT4	10.9632446266667	0.380007897	-4.85050162430101	0.0011129331490315
AGPAT5	28.1521744333333	61.9792731266667	1.13853947725923	0.000124210681267722
AGPAT6	37.3344579166667	35.9619928533333	-0.0540348129668002	0.134869073257388
AGPS	35.1130902666667	26.17599533	-0.423764575896541	0.000440474573890893
AGRN	35.9213541766667	1.254811139	-4.83929959204711	0.00767380649729517
AGTPBP1	49.0624064633333	33.84744352	-0.535571126519274	0.00114971961243055
AGTRAP	24.15072425	98.2328321633333	2.02413883989229	0.00159511719580207
AHCTF1	42.7727656966667	62.3405488566667	0.543478361532064	0.00282338322592543
AHCY	233.5641655	182.890140366667	-0.35284164492719	0.00046876861949979
AHCYL1	48.04216249	16.4582706533333	-1.54548833850186	8.64004337049427e-05
AHCYL2	8.79844320866667	9.51928003833333	0.113604187102585	0.194432992017349
AHDC1	4.98014433166667	1.97643224733333	-1.33328905424999	0.00105695209215305
AHI1	5.79924592233333	6.372559614	0.136007646057786	0.293451444893229
AHNAK	206.473038533333	9.12953745766667	-4.49926782626693	0.0018652058616172
AHRR	4.165790891	0.286755033	-3.86069970951681	0.000572661473068804
AHSA1	598.616468166667	245.931225566667	-1.28337704480125	0.00074996474649872
AHSA2	57.0336250666667	36.7948727733333	-0.632307987379874	0.0278376714915853
AIDA	37.25939746	47.30138671	0.344278134981421	0.0600649289377602
AIF1L	22.9921880333333	0.657788242666667	-5.12737673367796	0.000421959417864281
AIFM1	69.9354313766667	53.4363788933333	-0.388201306024678	0.00140110945949392
AIFM2	25.1714805933333	27.95224425	0.151174041152109	0.171528546691027
AIG1	8.77667688733333	11.2975742833333	0.364266342268217	0.00333093129752904
AIM1	1.74784183266667	0.348755149	-2.32528821496568	0.00336298466197082
AIM1L	1.74983156633333	0.312953135	-2.48319752551	0.00162886891977596
AIM2	46.6515502566667	27.6684001466667	-0.753685797154984	0.0287633935330585
AIMP1	34.8994382533333	69.9070268566667	1.00223366373256	9.85663687595071e-05
AIMP2	38.17879281	66.05208266	0.790832564859106	2.93442960718744e-06
AIP	335.327805666667	76.26123452	-2.13655032681857	2.5233943918274e-08
AJUBA	1.169249777	0.442823707	-1.40077878821641	0.0197702562856767
AK1	48.1173880766667	4.85861810133333	-3.30794038896573	0.00655562476171368
AK2	70.84733048	101.87925358	0.524074896153043	0.00127537794319827
AK3	43.91345145	50.6072539366667	0.20468126268302	0.0332820473297395
AK6	41.2502639433333	49.29812876	0.25712953576644	0.00735804870436971
AK7	6.86918347933333	0.0897121036666667	-6.25869216785531	0.00136564666055946
AK9	0.625944688	1.40858163833333	1.17013609836906	0.010474266700379
AKAP1	26.71024654	52.2648446933333	0.968447569222655	2.28486221634534e-05
AKAP10	7.61342699233333	24.7504580833333	1.70083732908543	0.0012172849584759
AKAP11	9.57210260033333	9.499995321	-0.0109090578719476	0.760375697933753
AKAP13	26.6347563033333	18.5183701533333	-0.524352951818557	0.0141429765862205
AKAP2	0.322050549	0.678642730666667	1.07536512076309	0.0285158506839681
AKAP3	0.276386433333333	0.544071775666667	0.977110187383577	0.043146486282637
AKAP5	8.92292264233333	2.41070371166667	-1.8880619855263	0.000707935325226
AKAP6	0.083723726	0.317063596666667	1.92106382225724	0.00495920575423431
AKAP8	53.0579265366667	40.95750792	-0.373440360736555	0.00068265898147923
AKAP8L	62.67097004	35.4938735566667	-0.820227294982271	0.000683721383291795
AKAP9	19.0185205633333	25.8248256566667	0.441353585110947	0.0240935434861406
AKIP1	17.75102658	35.48360415	0.999250093699369	0.00029025912207051
AKIRIN1	40.4649597466667	77.8932203066667	0.944824603714152	0.000245296327527238
AKIRIN2	94.9263263466667	54.8654766133333	-0.790909614214313	0.0063468286606599
AKNA	101.27228978	58.0216409666667	-0.803576473057377	0.000713088385343265
AKR1A1	82.1736140766667	125.516046	0.611124686005259	0.001309292712064
AKR1B1	412.421615433333	504.622128233333	0.29108352366841	0.00910800790077411
AKR7A2	70.3555373233333	40.98782949	-0.77946838095676	0.011315953225563
AKR7A3	2.86330732033333	0.834613499666667	-1.77850236275407	0.047259637205765
AKR7L	2.49763268433333	0.381043623	-2.71253324556169	0.00264219685183352
AKT1	153.398293166667	64.24091108	-1.25571817157979	0.00539480511431286
AKT1S1	42.2295883233333	32.8838923033333	-0.360873109255538	0.00401638083295571
AKT2	85.6544917066667	76.6364597766667	-0.160497985693416	0.0120137596525754
AKT3	17.4641401066667	16.3920554933333	-0.0913988360178245	0.221688136343446
AKTIP	6.11202657833333	32.4930237366667	2.4104072821648	1.9124922841534e-05
ALAD	64.3837614166667	27.6056017633333	-1.22173581395342	0.00116155151169649
ALAS1	56.8085264166667	42.3651427433333	-0.423229750685358	0.0111697093046037
ALCAM	0.043407695	10.274865359	7.88695295792455	0.00117248935942108
ALDH16A1	60.8618405633333	42.6745245266667	-0.512162884966272	0.0051038679204928
ALDH18A1	84.9407241733333	80.3551474266667	-0.0800659649471984	0.114067604892517
ALDH1A3	2.63773428566667	1.45012106133333	-0.86312589418683	0.03011004870758
ALDH1B1	87.63616916	51.5992396133333	-0.764176615491615	1.25317461450771e-05
ALDH1L2	2.73632222	4.89192201266667	0.838163277422593	0.0018611405967398
ALDH2	12.8206603033333	0.530443573666667	-4.59512746533084	0.00022119347902593
ALDH3A2	32.97903893	50.98850976	0.628622816373437	0.000585130532855434
ALDH3B1	6.37177362266667	6.716289338	0.0759693714839975	0.693756364930131
ALDH4A1	16.1423521666667	10.026506599	-0.687031780150224	0.00130598222301598
ALDH5A1	32.2007642633333	38.15104119	0.244627500427092	0.0207961061639739
ALDH6A1	24.5235468666667	10.0660095026667	-1.28467578773471	0.000289503345060716
ALDH8A1	0.141055295666667	0.703801271666667	2.31890729050682	0.0123023611454623
ALDH9A1	93.71334703	93.0120886666667	-0.0108363032154846	0.850000795180618
ALDOA	1028.552636	740.922118266667	-0.4732218181178	0.000252400588230668
ALDOC	157.165452233333	12.69500711	-3.62995101427393	0.00209251453761735
ALG1	22.1331261566667	30.96640293	0.484496572103158	0.000361507743960963
ALG10	12.0207437466667	14.0333326966667	0.223331505974744	0.0954548895507517
ALG10B	4.38036591933333	8.11431586933333	0.889418071833372	0.000225824325572071
ALG11	6.15180248566667	5.63542025333333	-0.126485982496212	0.543038836713029
ALG12	24.5474250233333	22.3695149033333	-0.13403772559251	0.075353390535368
ALG13	13.31574533	12.4939973866667	-0.0918980503700491	0.162659555720829
ALG14	16.02401919	10.9132211916667	-0.554159057627181	0.00605827828431667
ALG1L2	3.46162034133333	0.967836233	-1.83861264784463	0.00254432653937186
ALG1L9P	0.586047095333333	0.574444195	-0.0288498582139634	0.918810470872089
ALG2	26.0279818566667	70.1031756533333	1.42941634619472	0.000366355973605958
ALG3	169.906249366667	198.881472066667	0.22716996233394	0.0361899193672331
ALG5	39.1245978166667	69.6070693166667	0.831157912230879	0.00604260261383478
ALG6	13.2788412766667	25.12864548	0.920203645770865	0.000892861798441632
ALG8	137.3192434	120.615118	-0.187123066307671	0.0379049516846407
ALG9	15.7691756	14.0735172666667	-0.164124305808131	0.102659764673417
ALKBH1	22.12558942	8.28750317033333	-1.41670646649957	0.0121900307061691
ALKBH2	131.2478476	49.44931804	-1.40827123358835	2.16979913875128e-05
ALKBH3	21.3866084933333	32.3210032366667	0.595764262886213	0.0105258541932875
ALKBH3-AS1	0.117777519666667	0.972164817	3.04513672686023	0.00626045074724879
ALKBH4	40.81654834	12.10304287	-1.75378437941199	6.85570551794017e-06
ALKBH5	44.24186957	71.1640878433333	0.685737032827176	0.00124327462657435
ALKBH6	31.8894761233333	35.7706085666667	0.165694265809508	0.0974818747962555
ALKBH7	69.81488641	83.0271924966667	0.250049224847038	0.00651392145391996
ALKBH8	26.4098385833333	12.5022945933333	-1.07888258133753	0.00164588771583137
ALMS1	8.46612171666667	11.2587449766667	0.41127288233682	0.0504355106300721
ALMS1-IT1	0.611196698666667	0.948058320333333	0.633339059253687	0.0336021355230066
ALOX12	2.42770609366667	3.64082581	0.584671944183305	0.146091104320793
ALOX12B	4.487425905	0.734928738333333	-2.61021184550462	0.000403228915878065
ALOX12P2	3.35668591	9.64879857666667	1.52331176764515	2.91062183946518e-05
ALOX15P1	7.96900324066667	2.85936652566667	-1.47870372129421	0.00132390231125235
ALOX5AP	2.22836902533333	10.8944720206667	2.2895362080675	0.000515171150975426
ALPK1	0.103150619	1.174662506	3.50942192962562	0.000183718676380569
ALS2	5.15652833533333	8.86307787433333	0.781407700314563	8.633368122689e-05
ALS2CL	1.51632370466667	0.334949061333333	-2.17856415884546	0.0217256502516789
ALS2CR12	0.602345927	0.367451002333333	-0.713040377169798	0.204666630215824
ALX3	2.66711780266667	1.12415530133333	-1.24644019129097	0.0663514512545962
ALYREF	205.9511888	374.410379233333	0.862317975393522	2.78530158740578e-06
AMACR	0.862056194333333	0.832676780333333	-0.0500253223164506	0.771489261142643
AMBRA1	21.38508966	15.7818015666667	-0.438343350771613	0.0104506856240979
AMD1	92.1921071766667	195.819851666667	1.08681188081823	0.00050620799927633
AMDHD1	4.78923504666667	1.61548373633333	-1.56782901553929	0.0419020263648597
AMDHD2	15.2113624033333	48.98560624	1.6872085213998	0.000771452691593304
AMER1	8.89919422233333	6.01285723433333	-0.565624008692633	0.000354125926556906
