"","...1","Tf","In_Degree","Out_Degree","Total_Connections","file"
"89",88,"ZNF574",83,93,176,"MM1.H3K27ac_DEGREE_TABLE.txt"
"90",89,"ZNF655",60,89,149,"MM1.H3K27ac_DEGREE_TABLE.txt"
"91",90,"ZNF710",84,77,161,"MM1.H3K27ac_DEGREE_TABLE.txt"
"92",91,"ZNF775",86,88,174,"MM1.H3K27ac_DEGREE_TABLE.txt"
"93",92,"ZNF805",86,84,170,"MM1.H3K27ac_DEGREE_TABLE.txt"
"94",93,"ABI3",40,9,49,"MM4_jia_DEGREE_TABLE.txt"
"95",94,"ARF1",23,7,30,"MM4_jia_DEGREE_TABLE.txt"
"96",95,"ARID5A",27,39,66,"MM4_jia_DEGREE_TABLE.txt"
"97",96,"ATF3",40,57,97,"MM4_jia_DEGREE_TABLE.txt"
"98",97,"BCL6B",50,51,101,"MM4_jia_DEGREE_TABLE.txt"
"99",98,"BCLAF1",39,53,92,"MM4_jia_DEGREE_TABLE.txt"
"100",99,"BHLHE41",36,15,51,"MM4_jia_DEGREE_TABLE.txt"
"101",100,"CAMTA2",44,5,49,"MM4_jia_DEGREE_TABLE.txt"
"102",101,"CEBPB",35,27,62,"MM4_jia_DEGREE_TABLE.txt"
"103",102,"CHD2",38,44,82,"MM4_jia_DEGREE_TABLE.txt"
"104",103,"ELF2",32,33,65,"MM4_jia_DEGREE_TABLE.txt"
"105",104,"ESRRA",30,51,81,"MM4_jia_DEGREE_TABLE.txt"
"106",105,"ETV5",33,24,57,"MM4_jia_DEGREE_TABLE.txt"
"107",106,"FOSB",45,20,65,"MM4_jia_DEGREE_TABLE.txt"
"108",107,"HBP1",42,43,85,"MM4_jia_DEGREE_TABLE.txt"
"109",108,"HIVEP2",45,35,80,"MM4_jia_DEGREE_TABLE.txt"
"110",109,"IRF2",37,38,75,"MM4_jia_DEGREE_TABLE.txt"
"111",110,"JUN",35,41,76,"MM4_jia_DEGREE_TABLE.txt"
"112",111,"JUNB",46,44,90,"MM4_jia_DEGREE_TABLE.txt"
"113",112,"JUND",33,54,87,"MM4_jia_DEGREE_TABLE.txt"
"114",113,"KLF13",28,19,47,"MM4_jia_DEGREE_TABLE.txt"
"115",114,"KLF2",53,37,90,"MM4_jia_DEGREE_TABLE.txt"
"116",115,"KLF6",46,22,68,"MM4_jia_DEGREE_TABLE.txt"
"117",116,"KLF7",27,53,80,"MM4_jia_DEGREE_TABLE.txt"
"118",117,"KLF9",40,38,78,"MM4_jia_DEGREE_TABLE.txt"
"119",118,"MEF2A",37,52,89,"MM4_jia_DEGREE_TABLE.txt"
"120",119,"MYBL2",38,30,68,"MM4_jia_DEGREE_TABLE.txt"
"121",120,"MYNN",35,22,57,"MM4_jia_DEGREE_TABLE.txt"
"122",121,"NFE2L1",44,36,80,"MM4_jia_DEGREE_TABLE.txt"
"123",122,"NFE2L2",32,32,64,"MM4_jia_DEGREE_TABLE.txt"
"124",123,"NFKB2",39,32,71,"MM4_jia_DEGREE_TABLE.txt"
"125",124,"NR4A2",46,41,87,"MM4_jia_DEGREE_TABLE.txt"
"126",125,"POU5F1",35,50,85,"MM4_jia_DEGREE_TABLE.txt"
"127",126,"PRDM10",28,18,46,"MM4_jia_DEGREE_TABLE.txt"
"128",127,"RFX1",38,49,87,"MM4_jia_DEGREE_TABLE.txt"
"129",128,"RFX3",41,43,84,"MM4_jia_DEGREE_TABLE.txt"
"130",129,"SMAD2",30,25,55,"MM4_jia_DEGREE_TABLE.txt"
"131",130,"SMAD4",27,36,63,"MM4_jia_DEGREE_TABLE.txt"
"132",131,"SP2",37,55,92,"MM4_jia_DEGREE_TABLE.txt"
"133",132,"SP3",33,52,85,"MM4_jia_DEGREE_TABLE.txt"
"134",133,"SP6",37,0,37,"MM4_jia_DEGREE_TABLE.txt"
"135",134,"TBP",40,57,97,"MM4_jia_DEGREE_TABLE.txt"
"136",135,"USF1",34,30,64,"MM4_jia_DEGREE_TABLE.txt"
"137",136,"VEZF1",44,27,71,"MM4_jia_DEGREE_TABLE.txt"
"138",137,"XBP1",38,30,68,"MM4_jia_DEGREE_TABLE.txt"
"139",138,"ZBTB4",46,13,59,"MM4_jia_DEGREE_TABLE.txt"
"140",139,"ZFP91",39,45,84,"MM4_jia_DEGREE_TABLE.txt"
"141",140,"ZNF16",39,50,89,"MM4_jia_DEGREE_TABLE.txt"
"142",141,"ZNF250",39,56,95,"MM4_jia_DEGREE_TABLE.txt"
"143",142,"ZNF335",33,37,70,"MM4_jia_DEGREE_TABLE.txt"
"144",143,"ZNF483",34,38,72,"MM4_jia_DEGREE_TABLE.txt"
"145",144,"ZNF580",37,44,81,"MM4_jia_DEGREE_TABLE.txt"
"146",145,"ZNF581",37,33,70,"MM4_jia_DEGREE_TABLE.txt"
"147",146,"ZNF595",28,56,84,"MM4_jia_DEGREE_TABLE.txt"
"148",147,"ZNF623",14,45,59,"MM4_jia_DEGREE_TABLE.txt"
"149",148,"ZNF718",28,51,79,"MM4_jia_DEGREE_TABLE.txt"
"150",149,"ZNF784",37,44,81,"MM4_jia_DEGREE_TABLE.txt"
"151",150,"ARF1",38,8,46,"MM8_jia_DEGREE_TABLE.txt"
"152",151,"ARID3A",37,37,74,"MM8_jia_DEGREE_TABLE.txt"
"153",152,"BCL6B",36,45,81,"MM8_jia_DEGREE_TABLE.txt"
"154",153,"CHD2",43,38,81,"MM8_jia_DEGREE_TABLE.txt"
"155",154,"DDIT3",34,29,63,"MM8_jia_DEGREE_TABLE.txt"
"156",155,"ELF2",28,36,64,"MM8_jia_DEGREE_TABLE.txt"
"157",156,"ELK4",32,35,67,"MM8_jia_DEGREE_TABLE.txt"
"158",157,"FOSB",34,15,49,"MM8_jia_DEGREE_TABLE.txt"
"159",158,"FOXO3",36,45,81,"MM8_jia_DEGREE_TABLE.txt"
"160",159,"HBP1",30,37,67,"MM8_jia_DEGREE_TABLE.txt"
"161",160,"JUNB",39,35,74,"MM8_jia_DEGREE_TABLE.txt"
"162",161,"JUND",38,45,83,"MM8_jia_DEGREE_TABLE.txt"
"163",162,"KLF13",43,26,69,"MM8_jia_DEGREE_TABLE.txt"
"164",163,"KLF16",26,40,66,"MM8_jia_DEGREE_TABLE.txt"
"165",164,"KLF2",42,41,83,"MM8_jia_DEGREE_TABLE.txt"
"166",165,"MEF2C",39,39,78,"MM8_jia_DEGREE_TABLE.txt"
"167",166,"MEF2D",43,37,80,"MM8_jia_DEGREE_TABLE.txt"
"168",167,"MEIS2",36,40,76,"MM8_jia_DEGREE_TABLE.txt"
"169",168,"MIXL1",34,33,67,"MM8_jia_DEGREE_TABLE.txt"
"170",169,"MYBL2",32,32,64,"MM8_jia_DEGREE_TABLE.txt"
"171",170,"MYC",39,27,66,"MM8_jia_DEGREE_TABLE.txt"
"172",171,"NHLH1",26,35,61,"MM8_jia_DEGREE_TABLE.txt"
"173",172,"NR3C1",31,41,72,"MM8_jia_DEGREE_TABLE.txt"
"174",173,"NR4A2",41,41,82,"MM8_jia_DEGREE_TABLE.txt"
"175",174,"NR5A2",37,37,74,"MM8_jia_DEGREE_TABLE.txt"
"176",175,"PAX4",34,45,79,"MM8_jia_DEGREE_TABLE.txt"
"177",176,"PBX4",41,25,66,"MM8_jia_DEGREE_TABLE.txt"
"178",177,"POU2F1",31,45,76,"MM8_jia_DEGREE_TABLE.txt"
"179",178,"PRDM1",41,43,84,"MM8_jia_DEGREE_TABLE.txt"
"180",179,"RAX2",30,25,55,"MM8_jia_DEGREE_TABLE.txt"
"181",180,"RFX1",37,44,81,"MM8_jia_DEGREE_TABLE.txt"
"182",181,"RFX3",31,39,70,"MM8_jia_DEGREE_TABLE.txt"
"183",182,"SIN3A",39,45,84,"MM8_jia_DEGREE_TABLE.txt"
"184",183,"TCF3",39,45,84,"MM8_jia_DEGREE_TABLE.txt"
"185",184,"USF1",34,27,61,"MM8_jia_DEGREE_TABLE.txt"
"186",185,"XBP1",36,28,64,"MM8_jia_DEGREE_TABLE.txt"
"187",186,"ZBTB38",41,26,67,"MM8_jia_DEGREE_TABLE.txt"
"188",187,"ZBTB7B",40,37,77,"MM8_jia_DEGREE_TABLE.txt"
"189",188,"ZFP91",36,34,70,"MM8_jia_DEGREE_TABLE.txt"
"190",189,"ZNF490",30,25,55,"MM8_jia_DEGREE_TABLE.txt"
"191",190,"ZNF672",27,44,71,"MM8_jia_DEGREE_TABLE.txt"
"192",191,"ZNF687",30,21,51,"MM8_jia_DEGREE_TABLE.txt"
"193",192,"ZNF692",27,38,65,"MM8_jia_DEGREE_TABLE.txt"
"194",193,"ZNF775",35,40,75,"MM8_jia_DEGREE_TABLE.txt"
"195",194,"ZNF791",30,33,63,"MM8_jia_DEGREE_TABLE.txt"
"196",195,"ARF1",115,56,171,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"197",196,"ARID3B",112,107,219,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"198",197,"ARID5A",116,116,232,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"199",198,"ATF4",120,117,237,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"200",199,"ATF5",119,116,235,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"201",200,"ATF6",109,84,193,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"202",201,"BCL6B",110,122,232,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"203",202,"BHLHE22",114,119,233,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"204",203,"CAMTA1",113,35,148,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"205",204,"CAMTA2",113,24,137,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"206",205,"CHD2",119,117,236,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"207",206,"CREB3L4",114,95,209,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"208",207,"CTCFL",116,122,238,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"209",208,"CUX1",115,110,225,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"210",209,"DBP",112,120,232,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"211",210,"E2F1",119,112,231,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"212",211,"E2F2",116,120,236,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"213",212,"E2F3",109,120,229,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"214",213,"E2F4",112,107,219,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"215",214,"E2F6",108,121,229,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"216",215,"ELF2",119,109,228,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"217",216,"ETS1",115,122,237,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"218",217,"ETV6",117,120,237,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"219",218,"FEZF1",97,118,215,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"220",219,"FHL1",105,62,167,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"221",220,"FIZ1",117,122,239,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"222",221,"FLI1",117,122,239,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"223",222,"FOSB",112,71,183,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"224",223,"FOXH1",112,116,228,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"225",224,"FOXO3",120,121,241,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"226",225,"FOXO4",110,121,231,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"227",226,"FOXR1",116,120,236,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"228",227,"HDAC1",112,118,230,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"229",228,"HEY1",107,89,196,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"230",229,"HSF4",112,107,219,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"231",230,"ID1",113,119,232,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"232",231,"IKZF3",121,122,243,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"233",232,"IRF1",114,122,236,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"234",233,"IRF2",122,115,237,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"235",234,"IRF3",107,122,229,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"236",235,"IRF4",115,117,232,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"237",236,"JUNB",120,111,231,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"238",237,"KLF1",119,122,241,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"239",238,"KLF10",119,121,240,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"240",239,"KLF13",120,105,225,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"241",240,"KLF16",109,117,226,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"242",241,"KLF3",109,119,228,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"243",242,"KLF6",104,117,221,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"244",243,"KLF9",117,119,236,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"245",244,"LTF",112,108,220,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"246",245,"MAF",107,122,229,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"247",246,"MAFF",112,122,234,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"248",247,"MAFG",112,120,232,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"249",248,"MAZ",119,122,241,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"250",249,"MEF2D",118,120,238,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"251",250,"MLX",116,90,206,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"252",251,"MNX1",111,108,219,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"253",252,"MYBL2",110,94,204,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"254",253,"MYC",121,115,236,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"255",254,"MZF1",99,122,221,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"256",255,"NFATC2",111,122,233,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"257",256,"NFE2",107,101,208,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"258",257,"NFE2L1",110,98,208,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"259",258,"NFE2L2",107,110,217,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"260",259,"NFE2L3",117,120,237,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"261",260,"NFIX",119,121,240,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"262",261,"NFKB1",113,122,235,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"263",262,"NR1D1",91,122,213,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"264",263,"NR3C1",121,121,242,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"265",264,"PBX2",106,105,211,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"266",265,"PLAGL1",118,122,240,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"267",266,"POU2F1",100,122,222,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"268",267,"PRDM1",119,122,241,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"269",268,"PRDM5",119,122,241,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"270",269,"RARA",118,122,240,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"271",270,"RARG",115,122,237,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"272",271,"RELB",112,111,223,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"273",272,"RUNX2",111,121,232,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"274",273,"RUNX3",118,122,240,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"275",274,"RXRA",105,122,227,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"276",275,"SMAD7",121,117,238,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"277",276,"SNAI3",116,116,232,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"278",277,"SOX11",107,122,229,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"279",278,"SP1",111,122,233,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"280",279,"SP3",95,121,216,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"281",280,"SREBF1",120,120,240,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"282",281,"STAT1",112,122,234,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"283",282,"TBX6",98,117,215,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"284",283,"TCF3",108,122,230,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"285",284,"TCF4",107,118,225,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"286",285,"TCFL5",116,92,208,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"287",286,"XBP1",117,102,219,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"288",287,"ZBTB33",115,71,186,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"289",288,"ZBTB38",120,120,240,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"290",289,"ZBTB7B",122,119,241,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"291",290,"ZFP62",110,122,232,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"292",291,"ZFP91",111,118,229,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"293",292,"ZNF114",109,104,213,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"294",293,"ZNF189",110,122,232,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"295",294,"ZNF217",120,91,211,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"296",295,"ZNF22",118,119,237,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"297",296,"ZNF267",110,122,232,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"298",297,"ZNF296",104,122,226,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"299",298,"ZNF341",120,122,242,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"300",299,"ZNF398",93,121,214,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"301",300,"ZNF425",93,122,215,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"302",301,"ZNF524",117,122,239,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"303",302,"ZNF579",99,122,221,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"304",303,"ZNF580",117,119,236,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"305",304,"ZNF581",117,119,236,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"306",305,"ZNF688",118,97,215,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"307",306,"ZNF689",119,121,240,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"308",307,"ZNF710",108,119,227,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"309",308,"ZNF740",115,121,236,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"310",309,"ZNF764",118,93,211,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"311",310,"ZNF768",118,122,240,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"312",311,"ZNF775",120,121,241,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"313",312,"ZNF784",117,120,237,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"314",313,"ZNF785",118,105,223,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"315",314,"ZNF786",93,118,211,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"316",315,"ZNF846",112,115,227,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"317",316,"ZXDA",115,117,232,"KMS11_H3K27ac_DEGREE_TABLE.txt"
"318",428,"ARF1",112,48,160,"MM7_jia_DEGREE_TABLE.txt"
"319",429,"ARF4",109,69,178,"MM7_jia_DEGREE_TABLE.txt"
