GENE	p300H3K27ac_33_DMSO_compare_TSS_SIGNAL	p300H3K27ac_33_DMSO_compare_DISTAL_SIGNAL	ENHANCER_PROMOTER_DIFFERENCE	ENHANCER_CONTRIBUTION	ENHANCER_PROMOTER_RATIO
DDX5	1631.5523	240.391	-1391.1613	0.128417885306676	-2.76279044517809
C1orf151	1534.6	144.04	-1390.56	0.0858075584997379	-3.41332125025975
C9orf102	1426.12	45.409	-1380.711	0.0308583792776085	-4.97297330537438
C5orf44	1395.842	21.4536	-1374.3884	0.0151369975324837	-6.02377207906777
SLC19A2	1397.8	34.8754	-1362.9246	0.024342848352111	-5.32480437769598
ZBTB37	1436.5156	74.2034	-1362.3122	0.049117936558685	-4.27494455718508
BRP44	1953.6658	600.6054	-1353.0604	0.235137678410969	-1.70169434538745
HSPA9	1796	443.3146	-1352.6854	0.197968878513095	-2.01838456836276
LOC348840	1676.8	331.3288	-1345.4712	0.164993799202521	-2.33937510503107
SFT2D3	2453.6	1109.3115	-1344.2885	0.311349720586661	-1.14523553362772
HNRNPK	1478.3485	134.4292	-1343.9193	0.0833525909987471	-3.45906795291472
SHB	1377.1204	40.0086	-1337.1118	0.0282321510603481	-5.1052007417804
CGGBP1	1630.802	307.443	-1323.359	0.158619266398211	-2.40719076686984
C9orf130	1360.708	45.409	-1315.299	0.0322938987296221	-4.90523542990314
LOC387895	1461.7365	152.312	-1309.4245	0.0943664332267587	-3.26258175215472
S100PBP	1730.8216	426.6216	-1304.2	0.197744070388504	-2.02042811348208
NAA38	1806	506.5007	-1299.4993	0.219027263429585	-1.83416172482813
ZC3H6	1320.8736	29.8172	-1291.0564	0.0220755186901399	-5.46920381841602
CCDC25	1517.7395	233.43	-1284.3095	0.133299489284161	-2.70086230177252
NUCKS1	1660	378.1272	-1281.8728	0.185526791458355	-2.13423970534733
LOC100129387	1410.3558	129.3962	-1280.9596	0.0840370397310736	-3.44619201178313
UBE3C	1420	143.9683	-1276.0317	0.0920532084953384	-3.30206784119549
GOT1	1325.2	54.7802	-1270.4198	0.0396963666580144	-4.5964117650399
SRFBP1	1271.4326	3.0528	-1268.3798	0.00239531971099865	-8
ZNF101	1340.8512	73.9328	-1266.9184	0.0522573057088573	-4.18079078140252
C5orf28	1484.2	225.9986	-1258.2014	0.132147576310728	-2.71529977147535
KIAA1377	1249.3224	0	-1249.3224	0	-8
THOC1	1239.8	2.1378	-1237.6622	0.00172134224435394	-8
STK19	1310.541	79.8057	-1230.7353	0.0573998557338252	-4.03752688614527
FAM53C	1698.4314	469.599	-1228.8324	0.216601667578093	-1.85470170726018
NAA35	1243.2	17.7183	-1225.4817	0.0140519016973582	-6.13267440891745
NCRNA00219	1223.5945	0	-1223.5945	0	-8
CEP290	1225.1247	1.683	-1223.4417	0.00137185314373231	-8
HNRNPH3	1459.5894	239.5739	-1220.0155	0.140995218058205	-2.60701992909683
FAM172B	1597.0974	377.2702	-1219.8272	0.191084071679458	-2.08178224563481
TMTC3	1220.7955	1.683	-1219.1125	0.00137671132866549	-8
DUT	1232.4768	14.3005	-1218.1763	0.0114699714215201	-6.42935108950543
MIR3661	1504.2954	290.5656	-1213.7298	0.161887522209241	-2.37215208047905
HEATR1	1213.15	0	-1213.15	0	-8
RPL35A	1706.718	494.2471	-1212.4709	0.224559262661639	-1.78792029634951
MRRF	1252.099	50.8431	-1201.2559	0.0390217646662887	-4.62215282958535
UBE2M	2440.8982	1239.6918	-1201.2064	0.336818770903578	-0.97743063087656
SNORA13	1197.2451	0	-1197.2451	0	-8
YARS	1622.5046	426.6216	-1195.883	0.208196840194616	-1.92719365165596
SREK1	1539.7241	344.3643	-1195.3598	0.182775022658172	-2.16066436807731
LOC645513	1227	33.5194	-1193.4806	0.0265917367078999	-5.19399511386631
ZNF292	1309.4	117.7294	-1191.6706	0.0824938509430189	-3.4753593362248
PRMT2	1202.1543	11.6178	-1190.5365	0.00957164858213498	-6.69314137256939
EIF4G2	1401.3383	215.0659	-1186.2724	0.133052054677908	-2.70395458185588
IPMK	1558.6	373.2097	-1185.3903	0.193191751754844	-2.06219233293832
MTR	1335.6	150.9378	-1184.6622	0.101536469506527	-3.14546194198706
DOM3Z	1262.6504	79.8057	-1182.8447	0.0594475305374977	-3.98381964139292
ENKUR	1251.2151	71.4096	-1179.8055	0.0539908259689994	-4.13106798145009
THNSL1	1251.2151	71.4096	-1179.8055	0.0539908259689994	-4.13106798145009
SNHG8	1387.6188	214.4352	-1173.1836	0.133850169844462	-2.69399764021717
VRK2	1365.475	192.8508	-1172.6242	0.123755122324228	-2.8238458647492
BPGM	1281.2	109.2154	-1171.9846	0.0785487560048601	-3.55224749920686
FBXL17	1682	514.264	-1167.736	0.234153999701311	-1.70959663617232
DHX36	1391.652	224.3904	-1167.2616	0.138851802403204	-2.63271563216952
NT5C3	1536.8461	372.8934	-1163.9527	0.195258777440588	-2.04313753299044
RBM18	1214.2662	50.8431	-1163.4231	0.0401887014821565	-4.57788892695241
FAM115C	1915.7318	752.6437	-1163.0881	0.28206063951644	-1.3478566370391
SON	1797.8299	638.9437	-1158.8862	0.262208889656388	-1.49249580806784
PARD3B	1183.854	28.9227	-1154.9313	0.0238483308592588	-5.35514512242927
HELQ	1171.7165	17.2116	-1154.5049	0.014476569272776	-6.08909852040701
TLR5	1184.27	32.015	-1152.255	0.0263219557916113	-5.20910621622903
STRAP	1323.401	171.9799	-1151.4211	0.115007420517408	-2.94393840863501
DEGS1	1580	428.619	-1151.381	0.213389896242144	-1.88215684947635
CAGE1	1310.8143	159.8223	-1150.992	0.1086755898772	-3.03592269018634
MRPS18C	1163.7401	17.2116	-1146.5285	0.014574347113434	-6.07924386717303
RAB18	1146.6522	0.3168	-1146.3354	0.00027620624445822	-8
PJA2	1692	548.698	-1143.302	0.244878158502395	-1.62464534614021
RG9MTD2	1188.0022	45.9983	-1142.0039	0.0372757547505046	-4.69081315437463
FAM165B	1146.2561	5.2832	-1140.9729	0.0045879458912084	-7.76130167069011
MTHFS	1375.8	234.8933	-1140.9067	0.145833660573369	-2.5501932925436
RMI1	1272.9916	134.4292	-1138.5624	0.095514575313936	-3.2433044476033
TMEM85	1208.6464	72.4022	-1136.2442	0.05651791821169	-4.06121488768593
LOC100131691	2371.5102	1239.6918	-1131.8184	0.343290627331288	-0.935824577026958
SCN9A	1378.377	247.8916	-1130.4854	0.152429678590609	-2.47518924312672
PEX5L	1130.16	0	-1130.16	0	-8
ZC3H15	1131.4	1.8676	-1129.5324	0.00164797793566144	-8
CR2	1274.8006	145.4598	-1129.3408	0.102417697487024	-3.13157920035773
HSD17B7P2	1164.429	35.7318	-1128.6972	0.0297725104835952	-5.02627027304286
FLJ10038	1256.8495	129.3962	-1127.4533	0.0933429045081979	-3.27994475104294
DNASE1L3	1517.9465	391.0407	-1126.9058	0.204841970653339	-1.95673026594049
CTSC	1186.2	62.3905	-1123.8095	0.0499687447565875	-4.24887709538122
ITGB3BP	1239.6612	122.8616	-1116.7996	0.0901721424404788	-3.33483990368163
RIOK1	1274.317	159.8223	-1114.4947	0.111441266549212	-2.99518358146804
PANX1	1153.2	39.5874	-1113.6126	0.0331889823785865	-4.86445761379097
PM20D1	1122.18	9.0882	-1113.0918	0.00803363870742588	-6.94809380650371
ZNF644	1111.9278	0.324	-1111.6038	0.00029130094462423	-8
PTHLH	1110.888	0	-1110.888	0	-8
ACOT7	1110.5685	0	-1110.5685	0	-8
OXSR1	1180.8144	70.6164	-1110.198	0.0564285296478239	-4.06363513514957
CNOT2	1165.4196	56.2867	-1109.1329	0.0460722024597892	-4.3719116012269
KLHL12	1309.1092	200.5643	-1108.5449	0.13285276584639	-2.70644870803135
MPZL3	1117.4562	9.1203	-1108.3359	0.00809558871501403	-6.93692128837971
SEPT7P2	1122.2	14.0595	-1108.1405	0.0123734939069816	-6.31864071914173
GUF1	1154.8134	46.706	-1108.1074	0.0388724476691762	-4.62790804803037
RPL7	1145.2125	38.236	-1106.9765	0.0323089682398516	-4.9045399064317
PREPL	1259.6602	152.6844	-1106.9758	0.108107044130731	-3.04441003918486
CCDC45	1345.0562	240.391	-1104.6652	0.15162346623716	-2.4842116645448
EIF5B	1155.2761	53.8785	-1101.3976	0.0445588182024036	-4.42238418689136
GUSBL1	1170.083	70.1145	-1099.9685	0.0565349470548038	-4.06075422994769
ENO1	1494.6	395.6748	-1098.9252	0.209321311377584	-1.91737233738539
PRMT3	1234	135.8576	-1098.1424	0.0991764399452907	-3.18317521586027
PLK2	1118.742	21.2576	-1097.4844	0.0186470240866751	-5.71775483099433
C15orf33	1101.5923	4.41	-1097.1823	0.00398733348022875	-7.9645960092322
DTWD1	1101.5923	4.41	-1097.1823	0.00398733348022875	-7.9645960092322
CCDC77	1148.274	51.66	-1096.614	0.0430523678802334	-4.47427548386777
PPP2CA	1386.1407	290.5656	-1095.5751	0.173295466236395	-2.25413788761558
C2orf7	1117.2748	22.893	-1094.3818	0.0200786235148897	-5.60893372574998
FLJ33630	1230.988	137.3276	-1093.6604	0.10036251870548	-3.16412318658764
KIAA1712	1574.5096	481.5896	-1092.92	0.234224885647541	-1.70902641147899
MTTP	1138.389	45.9983	-1092.3907	0.0388372114425746	-4.62926927318366
NDUFA12	1114.6122	24.1623	-1090.4499	0.0212178091448307	-5.52764024864109
TNPO1	1350.661	260.5208	-1090.1402	0.161695470989059	-2.37419515354331
THADA	1090.1193	0	-1090.1193	0	-8
DCAF6	1688.0712	600.6054	-1087.4658	0.262424756734962	-1.49088640454184
ATAD2B	1302.6	219.2955	-1083.3045	0.144093664775275	-2.57044601883185
C1orf183	1397.81	316.6083	-1081.2017	0.184673892013402	-2.14239729110396
PIGP	1151.4872	71.2948	-1080.1924	0.0583054052153205	-4.01355770866948
ATPBD4	1079.6221	0	-1079.6221	0	-8
CHEK1	1320.0492	240.5072	-1079.542	0.154116313899325	-2.45643971242872
CYP51A1	1184.9448	105.6234	-1079.3214	0.0818425558602792	-3.48781846103617
C6orf64	1076.3736	0	-1076.3736	0	-8
AKR1B1	1172.45	97.3176	-1075.1324	0.0766420563889014	-3.59068184736544
USP14	1111.191	37.6329	-1073.5581	0.03275776209043	-4.88396854116036
STAMBPL1	1270.4209	198.5852	-1071.8357	0.135183373302534	-2.6774765399565
TADA1	1157.889	86.638	-1071.251	0.0696152032057159	-3.74035320770035
DHX9	1236.1797	167.3313	-1068.8484	0.119223361982913	-2.88510924134239
FRG1B	1102.8221	34.0014	-1068.8207	0.0299091283739296	-5.01946212317799
USP1	1254.889	188.8695	-1066.0195	0.130817931115211	-2.73209810869984
KCTD9	1086.32	20.4974	-1065.8226	0.0185192245803147	-5.72786441164009
C19orf48	1112.886	48.51	-1064.376	0.0417686990483866	-4.51987982605027
KDM5A	1115.9655	51.66	-1064.3055	0.0442436380500426	-4.43310097335306
EFCAB7	1185.3045	122.8616	-1062.4429	0.0939189602910517	-3.27015174778669
ERLIN1	1093.272	31.713	-1061.559	0.0281897091961226	-5.10743420937103
C2orf34	1210.6955	152.6844	-1058.0111	0.111989622261557	-2.98721148843238
DDX60	1054.3275	0	-1054.3275	0	-8
ZNF24	1053.711	0	-1053.711	0	-8
BTRC	1063.4586	11.5362	-1051.9224	0.0107314007472408	-6.52645197912543
PNPLA6	1064.4229	13.5579	-1050.865	0.0125771256779342	-6.29479390878163
SCLT1	1086.9816	36.396	-1050.5856	0.0323987232787978	-4.90040380517256
ZNF133	1068.1216	18.0198	-1050.1018	0.016590657533172	-5.88934909044796
TMEM87A	1081.927	33.5507	-1048.3763	0.0300774278141105	-5.01111648335694
TBCCD1	2093.075	1045.0662	-1048.0088	0.333020770384711	-1.00202967470727
LIN54	1159.6169	115.445	-1044.1719	0.0905407023768807	-3.32837066869068
CLDN12	1043.588	0	-1043.588	0	-8
NCLN	1093.905	51.7376	-1042.1674	0.045160331852185	-4.40213051078858
DUS4L	1042.104	0	-1042.104	0	-8
SKAP2	1153.4688	111.72	-1041.7488	0.0883030263941635	-3.36801959746945
GBE1	1119.5769	77.934	-1041.6429	0.0650799921737664	-3.84455695001717
KIF9	1230.06	189.4265	-1040.6335	0.133447200801135	-2.6990186119863
KLHL18	1230.06	189.4265	-1040.6335	0.133447200801135	-2.6990186119863
C4orf33	1075.6536	36.396	-1039.2576	0.0327287559835461	-4.88528983783027
URGCP	1338.3532	299.4002	-1038.953	0.182811527058958	-2.16031181247638
TTC3	1107.502	71.2948	-1036.2072	0.0604809921438538	-3.95736863862951
EIF4A2	2541.952	1508.4151	-1033.5369	0.372414416461165	-0.752903290234403
GAR1	1082.3925	49.752	-1032.6405	0.043944920458475	-4.44332541538494
LOC284749	1194.4	166.4004	-1027.9996	0.122281269170703	-2.84355526398069
POGK	1114.1988	86.638	-1027.5608	0.0721480221125802	-3.68486291773769
C18orf19	1047.9216	29.1508	-1018.7708	0.0270648472656063	-5.16785149923693
DCLRE1A	1019.1792	1.0062	-1018.173	0.000986291315284457	-8
SMARCAD1	1017.9204	0	-1017.9204	0	-8
FRA10AC1	1024.0612	9.6607	-1014.4005	0.00934555028775148	-6.72795849260196
NCRNA00240	1083.0086	70.1145	-1012.8941	0.0608040026255653	-3.94918805794108
FLJ40852	1755.3355	743.5616	-1011.7739	0.297555909765152	-1.2392226297164
CNOT1	1084.4	72.9291	-1011.4709	0.0630150058440594	-3.8942586178083
NMD3	1010.844	0	-1010.844	0	-8
SNORA24	1224.5508	214.4352	-1010.1156	0.1490182670297	-2.51363897292336
LOC387723	1089.6	80.6	-1009	0.068877115023073	-3.7568749594841
AGPS	1002.939	0	-1002.939	0	-8
LOC100130691	1002.939	0	-1002.939	0	-8
SMEK2	1497	497.8268	-999.1732	0.249558909074211	-1.58835841785234
ZNF678	1092.5376	93.433	-999.1046	0.0787818854868746	-3.54760692956565
FEM1A	1546.6	549.0842	-997.5158	0.262007128745829	-1.49400081498648
NCRNA00167	1282.11	286.1159	-995.9941	0.182445590268596	-2.16384846654731
SLC33A1	1949.8	954.422	-995.378	0.328632590759246	-1.03062694414834
STYXL1	1023.0157	28.2717	-994.744	0.0268924558593587	-5.17732583956817
C15orf41	1039.8928	45.547	-994.3458	0.0419617928143044	-4.51293496934664
TXNL4A	1035.4324	41.7429	-993.6895	0.0387521882464256	-4.63255872538301
ORC4	1111.6859	119.2785	-992.4074	0.0968984155837488	-3.22034329585437
MDH2	1020.4029	28.2717	-992.1312	0.0269594591115299	-5.17363645780654
RNMT	1020.7616	29.1508	-991.6108	0.0277649830595391	-5.12996667573809
GTPBP10	991.5324	0	-991.5324	0	-8
BAT2	1485.6	494.8515	-990.7485	0.249868022519107	-1.58597816352762
NDUFA5	1214.9779	224.8972	-990.0807	0.156192158611535	-2.43359246738352
CENPF	1053.2137	63.6788	-989.5349	0.0570142605487995	-4.04784123353024
SSBP1	1732.3385	743.5616	-988.7769	0.30031970999153	-1.22019668938955
TSGA10	2151.2365	1163.3175	-987.919	0.350972559204044	-0.886921238672007
PMS2P4	1006.7188	20.423	-986.2958	0.0198833306170579	-5.62332214718892
STAG3L4	1006.7188	20.423	-986.2958	0.0198833306170579	-5.62332214718892
SNORA7A	985.1968	0	-985.1968	0	-8
LOC154761	1589.4	604.7392	-984.6608	0.275615694756285	-1.394097244995
MAP3K7	984.5848	0	-984.5848	0	-8
C6orf170	1002.972	18.7824	-984.1896	0.0183824997474931	-5.73875609934028
PDSS2	992.9799	11.584	-981.3959	0.0115313719714595	-6.42155910222326
RPS3A	1200.7789	219.9486	-980.8303	0.154814065329206	-2.44873220790323
NHLRC2	981.137	1.0062	-980.1308	0.00102449418781294	-8
PRDM10	1266.1464	286.1159	-980.0305	0.184321876528213	-2.14577264981681
C1orf9	1245.1032	265.0821	-980.0211	0.175529519456983	-2.23175416576713
RBM22	989.4096	10.4489	-978.9607	0.0104503787285901	-6.56514492089293
BMS1	1016.195	38.5832	-977.6118	0.0365794439058373	-4.71906065843781
NME6	1012.3174	36.6033	-975.7141	0.034896155638839	-4.78954416878438
STK35	1414	438.5383	-975.4617	0.236722933069724	-1.68900736824352
SLC36A4	999.0921	25.8766	-973.2155	0.0252462343484245	-5.27089770201087
TMEM30A	1272.8	301.0016	-971.7984	0.191257652807063	-2.08016267989352
SMC2	990.885	19.095	-971.79	0.0189063149765342	-5.69745080594424
XAB2	988.894	18.5493	-970.3447	0.0184122520840627	-5.73637923652167
ARMC5	1248.6	279.4134	-969.1866	0.182860569154695	-2.15983825517595
LINS	1070.7269	102.6525	-968.0744	0.0874844913759352	-3.38274988427984
NAF1	1093.3038	126.258	-967.0458	0.103527348921555	-3.11424763485552
PIKFYVE	1074.4	107.3684	-967.0316	0.0908540116659068	-3.32288985400622
SNX13	1115.4507	150.7961	-964.6546	0.119089027510277	-2.88695572949007
STAM2	1051.2411	86.8539	-964.3872	0.0763151582249285	-3.59735914447156
RTP4	1344.4	383.1714	-961.2286	0.221797721356119	-1.81090066063758
MBTD1	963.3342	2.5608	-960.7734	0.00265121985308962	-8
ATG12	981.745	21.3484	-960.3966	0.0212825645149295	-5.52314849205883
ZBED5	1175.2304	215.0659	-960.1645	0.15469069435055	-2.45009292009249
EXO1	961.36	1.3724	-959.9876	0.00142552593015463	-8
ZNF121	980.4465	21.6627	-958.7838	0.0216171052017086	-5.50015393487738
LOC100131801	977.2747	18.5493	-958.7254	0.0186270867141182	-5.71932749357095
GPR37	1364.1985	405.9008	-958.2977	0.229309621217296	-1.7488544928128
FGGY	1044.1576	85.896	-958.2616	0.0760105538356765	-3.60360472180576
AP3S1	976.537	21.3484	-955.1886	0.0213936389890062	-5.51547485415888
AVPI1	952.84	0	-952.84	0	-8
GLUL	987.0954	34.3026	-952.7928	0.0335839702055418	-4.84679968767267
C5orf43	952.5576	0	-952.5576	0	-8
SPTY2D1	1049.542	97.026	-952.516	0.0846229791865812	-3.43524469329765
C4orf46	1203.5064	252.2727	-951.2337	0.173290508154706	-2.2541878169305
PAXIP1	1016.382	65.275	-951.107	0.0603472265237501	-3.96076836801532
ESCO1	1113.2	162.2871	-950.9129	0.12723539109098	-2.77809258226288
LOC729013	1165.5207	215.0659	-950.4548	0.155778637863065	-2.43812392741778
C20orf111	1353.2	402.8436	-950.3564	0.229404099078178	-1.74808334160318
SNRPB2	950.3718	1.079	-949.2928	0.00113405758868456	-8
NCRNA00245	1650.4288	701.6813	-948.7475	0.298319921333614	-1.23395308178433
SBDS	1202.1436	254.9985	-947.1451	0.17499906151912	-2.23704857527191
IWS1	1036.6	90.1063	-946.4937	0.079973192658992	-3.52408750952997
BRAF	1195.8	249.8819	-945.9181	0.172847083442077	-2.25865780617598
EARS2	1260.507	315.2411	-945.2659	0.200058054964496	-1.99947658441104
USP15	1227.4	282.323	-945.077	0.187003178728813	-2.12018691790324
CDCA2	965.4608	20.4974	-944.9634	0.0207893194660788	-5.55770485623956
LOC100132707	1010.2196	65.275	-944.9446	0.0606930058040273	-3.95199457515824
SLC7A11	1442.6	498.364	-944.236	0.256761073363545	-1.53339956672139
HIBADH	1119.2	175.2692	-943.9308	0.135398509288595	-2.67482346846628
LAMP1	988.0608	46.2	-941.8608	0.0446695843060087	-4.41863506355765
LIN7C	941.5104	0	-941.5104	0	-8
CDCA7	938.8257	0	-938.8257	0	-8
PHF8	938.8026	0	-938.8026	0	-8
ATG10	1022.8	84.3018	-938.4982	0.076146385093042	-3.60081681975212
MARCH7	1632.4	694.6817	-937.7183	0.298520546141547	-1.23257061767984
DCTN4	948.0387	10.4489	-937.5898	0.0109014451517161	-6.50352297596106
BDNF-AS1	937.5864	0	-937.5864	0	-8
MBD5	1056.3499	119.2785	-937.0714	0.101459355694367	-3.14668185967947
ALS2CR4	936.8627	0	-936.8627	0	-8
NNT	1343.662	409.2172	-934.4448	0.233454307632836	-1.71523158179668
UTP18	936.159	2.5608	-933.5982	0.00272797058291516	-8
ZNF503	1635.13	701.6813	-933.4487	0.300272983103086	-1.22051752104465
PVRL3	1439.3412	506.7221	-932.6191	0.26038315403204	-1.50614197111686
ETFDH	1183.741	252.2727	-931.4683	0.175675691673415	-2.23029746004562
FPGT-TNNI3K	931.105	0	-931.105	0	-8
LRRIQ3	931.105	0	-931.105	0	-8
RLIM	959.821	28.8365	-930.9845	0.029167330445579	-5.05679740352212
NUP205	1353.1766	422.2779	-930.8987	0.2378421412658	-1.68008548396139
ARL4A	1248.0584	320.4554	-927.603	0.204305119916701	-1.96148995729433
M6PR	1059.6	132.4155	-927.1845	0.111085384376294	-3.00037583588042
ADCK4	1719.1676	793.5502	-925.6174	0.315813498833813	-1.11531680265334
SLC12A2	1062.012	137.3276	-924.6844	0.114502681308947	-2.95110655616239
ATR	961.9142	37.2507	-924.6635	0.0372818340596232	-4.69056877397547
SPTLC1	923.6628	0	-923.6628	0	-8
LOC100129361	921.9818	0	-921.9818	0	-8
PRH1	921.9818	0	-921.9818	0	-8
PRR4	921.9818	0	-921.9818	0	-8
DUSP4	1583.5637	662.2729	-921.2908	0.294889174038752	-1.25767717206766
GABPB1	1049.7989	129.3962	-920.4027	0.109732647294752	-3.0202458357809
SCMH1	1021	100.9772	-920.0228	0.0899993333197859	-3.3378813825836
MOSC2	940.6041	22.304	-918.3001	0.0231631658306748	-5.39821324934261
FAM129A	1020.3188	102.393	-917.9258	0.0912014997971875	-3.31683099931765
SREK1IP1	917.3979	0	-917.3979	0	-8
UBFD1	1232.4075	315.2411	-917.1664	0.203690359685009	-1.96695182169654
C12orf26	916.2957	0	-916.2957	0	-8
CCDC59	916.2957	0	-916.2957	0	-8
C4orf43	1109.2	193.0516	-916.1484	0.148244471344861	-2.52246110507871
LOC100129961	1039.5232	124.5392	-914.984	0.106986704492818	-3.0612501344556
ZC3HAV1	1331.8	417.1561	-914.6439	0.238517193198846	-1.6747181983202
APBA3	1414.0199	500.3472	-913.6727	0.261364291101743	-1.49880096407575
MAPRE2	1748.7099	838.9363	-909.7736	0.324208270821568	-1.05965779820748
ERO1LB	1046.455	136.6827	-909.7723	0.115525606191063	-2.93660771672919
CCDC90A	959.6	51.5067	-908.0933	0.0509409145444294	-4.21960114200799
SMC5	906.5226	0	-906.5226	0	-8
C12orf66	918.8186	12.4279	-906.3907	0.0133454461305358	-6.20812561883122
COQ7	1358.745	452.5672	-906.1778	0.249855988382345	-1.58607079276687
POC5	939.1565	33.588	-905.5685	0.0345291081059826	-4.80534778916007
MDH1	916.2378	12.84	-903.3978	0.0138201558577764	-6.15700497585457
CUL4A	948.7669	46.2	-902.5669	0.0464337054830668	-4.36008892214466
COG5	902.448	0	-902.448	0	-8
ZMAT1	901.9224	0	-901.9224	0	-8
ARIH1	1531.2	629.7982	-901.4018	0.291438558347712	-1.28170119565132
CCDC124	901.337	0	-901.337	0	-8
RPL32	900.6592	0	-900.6592	0	-8
GTF3C4	923.3843	23.0564	-900.3279	0.024361167054629	-5.32369202799764
MAD2L1	1068.8	168.9933	-899.8067	0.13652788393668	-2.66095395804051
ASB7	1001.5109	102.6525	-898.8584	0.0929685769334502	-3.28633745449209
KIF24	987.1305	89.1088	-898.0217	0.0827964561413061	-3.46960100532135
