GENE	p300H3K27ac_33_DMSO_compare_TSS_SIGNAL	p300H3K27ac_33_DMSO_compare_DISTAL_SIGNAL
ACAN	0.0	641.7221999999999
ACAP1	188.85199999999998	1821.3569000000002
ACAP2	860.8494	1672.355
ACAP3	647.0827999999999	390.5924999999999
ACAT1	695.5389	1811.9124000000002
ACAT2	358.2928	42.324
ACBD3	739.8048	9477.470099999999
ACBD4	967.6696	7969.9354
ACBD5	1550.6639999999998	1155.1465
ACBD6	1836.6	134.4552
ACBD7	0.0	901.5059000000001
ACCN2	0.0	1292.4373
ACCN3	0.0	2833.6025000000004
ACCN4	0.0	444.92550000000006
ACCN5	0.0	2517.6688
ACCS	552.0268	0.0
ACCSL	0.0	0.0
ACD	695.2260000000001	3091.7488
ACE	0.0	63.5976
ACE2	0.0	75.30460000000001
ACER1	0.0	662.87
ACER2	0.0	219.38400000000001
ACER3	220.8628	1578.8818
ACHE	0.0	4.6512
ACIN1	668.745	825.3272999999999
ACLY	563.3712	2329.8872
ACMSD	0.0	124.5392
ACN9	212.758	341.2464
ACO2	856.568	2726.3188
ACOT1	0.0	0.0
ACOT11	0.0	917.1428
ACOT12	0.0	22.8034
ACOT13	865.7805000000001	2290.8636
ACOT2	0.0	0.0
ACOT7	1110.5685	0.0
ACOT8	639.3570000000001	687.146
ACOT9	321.3164	1593.1324
ACOX1	900.232	1167.5784999999998
ACOX2	0.0	26.961000000000002
ACOX3	825.6508	1433.1496
ACOXL	479.5524	9671.9284
ACP1	302.7096	1125.9843
ACP2	629.9262	789.5206000000001
ACP5	0.0	1182.9560000000001
ACP6	961.3191999999999	1207.076
ACPL2	496.48	750.96
ACPP	0.0	687.1152000000001
ACPT	0.0	48.510000000000005
ACR	0.0	2640.0071
ACRBP	0.0	990.0418000000002
ACRC	0.0	2493.8073
ACRV1	0.0	109.2356
ACSBG1	0.0	1137.6390000000001
ACSBG2	0.0	668.2212
ACSF2	440.115	1400.8919000000003
ACSF3	81.25519999999999	2014.6219999999998
ACSL1	0.0	2396.7981999999997
ACSL3	315.49440000000004	0.0
ACSL4	503.6625	1215.3433
ACSL5	523.7439999999999	0.0
ACSL6	0.0	7154.6849999999995
ACSM1	0.0	7.3728
ACSM3	410.9448	94.7145
ACSS1	461.1684	5006.0254
ACSS2	438.7761	900.0545
ACTA1	0.0	3306.0357000000004
ACTA2	737.2767	198.5852
ACTB	875.1999999999999	2276.86
ACTBL2	0.0	2092.6827000000003
ACTC1	0.0	395.67359999999996
ACTG1	574.6	2241.9248000000002
ACTG2	0.0	177.0258
ACTL6A	813.6921	2020.6993
ACTL6B	0.0	629.3049000000001
ACTL7A	0.0	100.6876
ACTL7B	0.0	100.6876
ACTN1	0.0	176.7409
ACTN2	0.0	0.0
ACTN3	248.80499999999998	977.0590000000001
ACTN4	467.25679999999994	2761.0792
ACTR10	397.9293	145.6265
ACTR1A	1082.2082	1934.9743
ACTR1B	708.2	281.82169999999996
ACTR2	927.4	1094.6673999999998
ACTR3	1092.0	3811.2877000000003
ACTR3B	939.5949999999999	1249.9230000000002
ACTR3BP2	0.0	883.9151999999999
ACTR3C	1520.3343	12171.2345
ACTR5	457.8844	2810.7332
ACTR6	569.9772	321.9722
ACTR8	243.31859999999998	1022.8900000000001
ACVR1	418.95369999999997	1607.5941
ACVR1B	0.0	2040.7288
ACVR1C	646.9988000000001	1046.6181
ACVR2A	767.295	142.17
ACVR2B	542.6796	40.8858
ACY1	801.9242	544.3225
ACY3	752.8512	4828.8772
ACYP1	76.419	1.6948
ACYP2	798.188	2302.4832
ADA	701.0	7054.371
ADAD2	0.0	5377.821
ADAL	922.7103999999999	347.55589999999995
ADAM1	0.0	1158.5066
ADAM10	726.6	919.1868999999999
ADAM11	0.0	1713.1464999999998
ADAM15	1067.6000000000001	18687.4707
ADAM17	945.0	2691.5433
ADAM19	0.0	3400.2354
ADAM20	0.0	0.0
ADAM21	0.0	0.0
ADAM22	658.144	1357.8469
ADAM23	0.0	3334.8378999999995
ADAM28	722.8774	7013.0913
ADAM29	0.0	932.1878999999999
ADAM33	0.0	764.7010999999999
ADAM3A	0.0	398.6634
ADAM5P	0.0	940.4504
ADAM7	0.0	6162.9121
ADAM8	780.2	2594.0198
ADAM9	948.3819	9767.725599999998
ADAMDEC1	0.0	7013.0913
ADAMTS10	0.0	915.3841
ADAMTS12	0.0	1502.056
ADAMTS13	0.0	138.04840000000002
ADAMTS14	0.0	5511.655500000001
ADAMTS15	382.98539999999997	531.441
ADAMTS16	0.0	502.737
ADAMTS17	0.0	0.0
ADAMTS19	215.26290000000003	1718.3966999999998
ADAMTS3	764.568	92.15880000000001
ADAMTS4	0.0	8159.697699999999
ADAMTS6	0.0	0.0
ADAMTS7	0.0	1328.9646
ADAMTS8	0.0	531.441
ADAMTSL2	0.0	15.714
ADAMTSL4	0.0	19818.513399999996
ADAMTSL5	0.0	2706.2926999999995
ADAP1	0.0	2540.3811
ADAP2	0.0	1401.1985000000002
ADAR	2761.288	4208.978
ADARB1	0.0	3084.3192
ADAT1	516.7785	312.9909
ADAT2	686.5736999999999	0.0
ADAT3	1368.305	6581.3283999999985
ADC	341.86449999999996	8144.2287
ADCK1	358.2529	657.3925999999999
ADCK2	736.1999999999999	2641.8141
ADCK3	1528.4867000000002	2925.9547
ADCK4	1719.1675999999998	793.5502
ADCK5	1114.947	3427.1272
ADCY1	179.11260000000001	0.0
ADCY10	0.0	600.6054
ADCY2	0.0	1100.6193
ADCY3	428.0416	1190.3756
ADCY4	0.0	1035.6214000000002
ADCY5	0.0	1455.1825000000001
ADCY6	378.5118	2945.3261999999995
ADCY7	0.0	4897.277
ADCY8	0.0	404.1864
ADCY9	0.0	602.0448
ADCYAP1	0.0	1512.2807
ADCYAP1R1	0.0	1616.714
ADD1	483.59999999999997	2393.2309999999998
ADD2	441.0974	0.0
ADD3	443.43	2330.1028
ADH1B	0.0	861.4606
ADH1C	0.0	861.4606
ADH4	0.0	0.0
ADH5	373.7767	0.0
ADH7	0.0	861.4606
ADHFE1	0.0	323.408
ADI1	711.4	3031.8066999999996
ADIPOQ	0.0	2093.227
ADIPOR1	861.7715	3252.2723
ADIPOR2	606.798	1424.0185999999999
ADK	2177.6488	3920.2184000000007
ADM	1078.2	10376.416599999999
ADM2	328.7228	4256.2366
ADNP	959.2	1648.498
ADNP2	225.498	27.1674
ADO	894.0252999999999	3750.6421999999993
ADORA1	0.0	3340.5460000000003
ADORA2A	3948.4572000000003	11175.719000000001
ADORA2B	0.0	1402.2458000000001
ADORA3	0.0	3929.2110000000002
ADPGK	1117.3999999999999	3613.0219
ADPRH	0.0	5876.073400000001
ADPRHL1	0.0	392.2214
ADPRHL2	842.1894	2540.1537
ADRA1A	0.0	1407.2368999999999
ADRA1B	0.0	2519.8964
ADRA1D	0.0	1497.3610999999999
ADRA2A	0.0	596.1345
ADRA2B	0.0	1521.2323000000001
ADRB1	0.0	3372.432999999999
ADRB2	1103.2	7104.5242
ADRB3	0.0	10761.4507
ADRBK1	232.22400000000002	7754.837699999999
ADRM1	804.2	6869.5324
ADSL	1087.6	3047.2262
ADSS	1172.586	1539.2456000000002
ADSSL1	0.0	441.01340000000005
AEBP1	0.0	1951.1173999999999
AEBP2	522.9054	107.9464
AEN	581.2698	7726.1052
AES	0.0	430.418
AFAP1-AS1	418.27	1171.1443
AFAP1L1	0.0	1299.2113000000002
AFAP1L2	0.0	160.4688
AFF1	2027.6	7718.2833
AFF3	0.0	811.9187999999999
AFF4	1208.7312	2030.4413
AFG3L1P	507.46900000000005	4976.8694
AFG3L2	930.901	558.8648
AFM	0.0	292.4
AFMID	587.088	13825.3029
AFP	0.0	292.4
AFTPH	1177.0	3837.0459000000005
AGA	919.956	548.627
AGAP1	40.572	3461.7895999999996
AGAP11	616.5081	114.9126
AGAP2	698.9258	2462.2255999999998
AGAP3	542.6732	1136.2739
AGAP5	0.0	2288.8764
AGAP6	0.0	0.0
AGAP7	0.0	1673.3076
AGAP9	0.0	305.888
AGBL1	0.0	2018.0225
AGBL2	187.1688	851.2136
AGBL3	963.0432	7106.6245
AGBL5	1263.9190999999998	4068.9013
AGER	0.0	906.8275999999998
AGFG1	367.9616	5164.2968
AGFG2	484.1928	1217.3707000000002
AGGF1	590.376	0.0
AGK	1252.3999999999999	5185.3042
AGL	207.3015	666.8235999999999
AGMAT	678.5057	3152.7021999999993
AGPAT1	1206.7529	906.8275999999998
AGPAT2	0.0	894.4852
AGPAT3	394.2	9718.926199999998
AGPAT4	0.0	62.7929
AGPAT5	786.361	1576.3905
AGPAT6	460.526	1900.7710000000002
AGPAT9	0.0	17.2116
AGPHD1	499.90139999999997	1365.1252
AGPS	1002.939	0.0
AGR2	0.0	0.0
AGRN	0.0	329.5038
AGRP	0.0	7068.974800000001
AGT	0.0	720.8027999999999
AGTPBP1	872.8000000000001	176.0786
AGTRAP	580.9048	1984.9524
AGXT2L1	0.0	4256.8425
AGXT2L2	517.5468	274.5815
AHCTF1	1078.2	220.30079999999998
AHCY	793.2055	10046.0751
AHCYL1	218.8104	987.6088
AHCYL2	2214.8798	2055.883
AHDC1	0.0	884.144
AHI1	1133.019	5722.6468
AHNAK	481.8642	12499.166
AHNAK2	0.0	1139.7611
AHR	502.77950000000004	719.5829
AHRR	19.003	2955.8707999999997
AHSA1	243.5793	0.0
AHSA2	728.4000000000001	1121.2250000000001
AHSG	35.9268	1045.0662
AHSP	0.0	279.4134
AICDA	0.0	588.9088
AIDA	1294.8990000000001	2391.2589
AIF1	260.43879999999996	494.8515
AIF1L	0.0	406.4942
AIFM1	689.3689	2269.4267000000004
AIFM2	430.3894	1049.9203
AIFM3	0.0	1418.6318
AIG1	877.6	704.4567
AIM1L	0.0	955.1875000000001
AIM2	2013.1999999999998	5178.295
AIMP1	726.5811	0.0
AIMP2	849.4206999999999	1774.7417999999998
AIP	743.1984	2991.681
AIPL1	0.0	0.0
AIRE	0.0	6668.8022
AK1	0.0	9229.357
AK2	670.6483	8128.5075
AK3	699.5152	1525.2352999999998
AK4	0.0	949.4399999999999
AK5	0.0	0.0
AK7	0.0	282.3761
AKAP1	773.0	1148.5536
AKAP10	1314.8	4643.9659
AKAP11	941.6	900.2584
AKAP12	0.0	602.7803
AKAP13	683.8	11525.1777
AKAP14	0.0	1181.3264
AKAP17A	60.456	2558.7266999999997
AKAP2	586.6	18462.0976
AKAP3	0.0	636.2318999999999
AKAP4	0.0	951.7146
AKAP5	222.23180000000002	1520.9411
AKAP6	0.0	1139.8169
AKAP7	0.0	972.5016
AKAP8	702.2	5278.402499999999
AKAP8L	592.4958	3002.3697
AKAP9	669.2076	821.5066999999999
AKD1	599.5572	2.3718
AKIRIN1	572.9205	418.80539999999996
AKIRIN2	830.31	4248.0697
AKNA	0.0	17878.053
AKNAD1	0.0	0.0
AKR1A1	895.236	3461.9300000000003
AKR1B1	1172.45	97.31760000000001
AKR1B10	0.0	97.31760000000001
AKR1B15	0.0	206.53300000000002
AKR1C1	0.0	255.9452
AKR1C2	0.0	255.9452
AKR1C3	378.3566	255.9452
AKR1C4	0.0	584.2485
AKR1CL1	0.0	584.2485
AKR1D1	0.0	12587.5399
AKR1E2	0.0	1213.7415
AKR7A2	664.5404	67.95469999999999
AKR7A2P1	0.0	219.98039999999997
AKR7A3	0.0	235.7289
AKR7L	0.0	235.7289
AKT1	0.0	441.01340000000005
AKT1S1	1358.8211000000001	2582.2895
AKT2	664.4	363.8495
AKT3	0.0	1242.5035
AKTIP	755.8000000000001	4084.6746999999996
ALAD	565.5702	5138.2841
ALAS1	321.02139999999997	3257.9242
ALAS2	0.0	0.0
ALB	0.0	292.4
ALCAM	979.2257999999999	2036.5854
ALDH16A1	781.6721	1824.7097999999999
ALDH18A1	587.9785999999999	17.8848
ALDH1A3	0.0	2618.6538
ALDH1B1	804.8543999999999	1877.7622000000001
ALDH1L1	0.0	1.188
ALDH1L2	550.6825	2597.4710999999998
ALDH2	0.0	34.9796
ALDH3A1	0.0	219.04350000000002
ALDH3A2	1160.1999999999998	638.1445
ALDH3B1	5039.787399999999	7216.943500000001
ALDH3B2	0.0	4828.8772
ALDH4A1	544.4433	3006.4599
ALDH5A1	574.629	2637.7870999999996
ALDH6A1	373.7847	587.1616
ALDH7A1	0.0	2965.875
ALDH8A1	0.0	12647.7633
ALDH9A1	1016.5655	5361.0356
ALDOA	2079.78	2854.4656
ALDOB	0.0	4098.7857
ALDOC	0.0	1474.0901
ALG1	708.0416	1669.0757
ALG10	774.5411999999999	0.0
ALG10B	718.1500000000001	1209.7238000000002
ALG11	39.527699999999996	0.0
ALG12	558.1076	1107.7992
ALG13	335.17650000000003	0.0
ALG14	469.20439999999996	0.0
ALG1L	0.0	7823.7062
ALG1L2	0.0	5315.2393
ALG2	1354.2961	5833.5756
ALG3	1359.9533999999999	527.4971
ALG5	919.8181999999999	94.40159999999999
ALG6	598.753	576.5593
ALG8	932.3996999999999	57.287400000000005
ALG9	618.5753	1141.7577999999999
ALKBH1	309.4588	671.141
ALKBH2	911.7136	3580.6015999999995
ALKBH3	579.6531	3541.5512
ALKBH4	505.3086	18284.4146
ALKBH5	920.6	508.8516000000001
ALKBH6	368.4084	196.59969999999998
ALKBH7	522.5925	888.8344
ALKBH8	598.1382	320.09880000000004
ALLC	0.0	370.125
ALMS1	550.1487000000001	597.4395
ALMS1P	0.0	0.0
ALOX12	0.0	1237.088
ALOX12B	0.0	7013.6274
ALOX12P2	925.1220000000001	310.716
ALOX15	0.0	1437.0271000000002
ALOX15B	0.0	3247.0463
ALOX5	276.42699999999996	9823.7083
ALOX5AP	0.0	3267.6227
ALOXE3	818.8900000000001	7732.965400000001
ALPI	0.0	98.3544
ALPK1	514.2422	2906.6441
ALPK2	0.0	9526.9368
ALPK3	0.0	4837.4527
ALPL	0.0	0.0
ALPP	0.0	280.6655
ALPPL2	0.0	280.6655
ALS2	657.566	797.6672
ALS2CL	0.0	712.0596
ALS2CR11	0.0	267.7207
ALS2CR12	0.0	2575.9485999999997
ALS2CR4	936.8626999999999	0.0
ALS2CR8	731.3919000000001	91.7088
ALX3	0.0	688.225
AMAC1	0.0	507.56549999999993
AMAC1L2	0.0	1906.0142
AMAC1L3	0.0	2094.8920000000003
AMACR	943.6	675.8224
AMBN	0.0	8161.1062999999995
AMBRA1	0.0	2308.0864
AMD1	895.7519	1511.7602
AMDHD1	475.66470000000004	761.9172000000001
AMDHD2	507.0762	1599.8815
AMELX	0.0	3701.1288999999997
AMFR	247.9964	84.0843
AMH	0.0	10083.757800000001
AMHR2	0.0	29406.1852
AMICA1	0.0	9.1203
AMIGO1	0.0	300.1812
AMIGO3	0.0	278.5729
AMMECR1	464.0	1289.3495
AMMECR1L	483.1688	4426.6298
AMN	0.0	962.4554
AMN1	1210.6017000000002	5145.097300000001
AMOTL1	625.3875	42.2037
AMOTL2	0.0	1044.2964
AMPD1	2146.0	2100.0011000000004
AMPD2	268.997	374.0688
AMPD3	999.2088999999999	2976.4818
AMT	0.0	4523.821899999999
AMY1A	0.0	159.1002
AMY1B	0.0	159.1002
AMY1C	0.0	159.1002
AMY2A	0.0	159.1002
AMY2B	0.0	159.1002
AMZ1	0.0	4435.1084
AMZ2	1017.6998	5389.4106
AMZ2P1	995.8000000000001	8734.8241
ANAPC1	827.8956	5167.060100000001
ANAPC10	1175.7804	1644.0394000000001
ANAPC11	528.1764999999999	1104.5456
ANAPC13	1358.8156999999999	1505.1756
ANAPC16	890.7247000000001	10402.844400000002
ANAPC2	637.238	1226.1606
ANAPC4	418.4701	921.4377999999999
ANAPC5	529.0758000000001	1631.7649
ANAPC7	582.062	31.1738
ANG	458.98679999999996	1989.9012
ANGEL1	354.42	80.2638
ANGEL2	869.881	5397.7083999999995
ANGPT1	0.0	184.68800000000002
ANGPT4	0.0	599.3518
ANGPTL2	0.0	4238.3636
ANGPTL3	0.0	0.0
ANGPTL4	0.0	5819.338100000001
ANGPTL5	437.0108	0.0
ANGPTL6	0.0	3221.6688
ANGPTL7	0.0	484.94870000000003
ANK1	0.0	2811.6592
ANK2	132.55949999999999	955.3534
ANK3	0.0	4085.9738999999995
ANKAR	131.27100000000002	1680.2555999999997
ANKDD1A	356.3112	6697.0649
ANKFY1	354.1755	0.9135
ANKH	399.54060000000004	1699.0064
ANKHD1	917.2	1749.4003
ANKIB1	950.9705	441.6837
ANKK1	0.0	1578.819
ANKLE1	0.0	2902.5429
ANKLE2	125.0	34.3184
ANKMY1	0.0	2577.4935
ANKMY2	1060.286	387.3335
ANKRA2	741.2694	390.3461
ANKRD1	0.0	974.6363
ANKRD10	672.0	1779.0620000000001
ANKRD11	316.59999999999997	2899.7943999999998
ANKRD12	3098.8	39937.666600000004
ANKRD13A	496.3675	2854.6869
ANKRD13B	0.0	2467.2812
ANKRD13C	1287.7691	401.2438
ANKRD13D	1166.403	6831.8177
ANKRD16	583.8158	3436.7612
ANKRD17	1036.8	1006.8154
ANKRD18A	758.5538000000001	334.7401
ANKRD19	624.4028000000001	7699.7777
ANKRD2	0.0	599.8657
ANKRD22	0.0	198.5852
ANKRD23	0.0	2690.8206999999998
ANKRD24	556.0052999999999	2206.368
ANKRD26	553.049	455.1216
ANKRD26P1	0.0	1131.2844
ANKRD27	471.6735	24.0555
ANKRD28	2875.0	4615.023499999999
ANKRD29	0.0	769.4277999999999
ANKRD30BL	0.0	8396.2372
ANKRD31	588.3948	34.0032
ANKRD32	591.4503	1964.4328
ANKRD33B	587.6	6870.9256
ANKRD34A	613.8752	17358.665299999997
ANKRD34B	0.0	43.07640000000001
ANKRD34C	0.0	877.3230000000001
ANKRD35	0.0	10576.035499999998
ANKRD36	885.6	140.6434
ANKRD36B	658.0	281.82169999999996
ANKRD36BP1	0.0	6202.499400000001
ANKRD36BP2	1116.5159999999998	5171.9518
ANKRD37	1535.8	16032.514100000002
ANKRD39	796.4	2690.8206999999998
ANKRD40	888.4	1844.3923000000002
ANKRD42	1044.0133	6624.7119
ANKRD43	0.0	491.5786
ANKRD44	400.9108	8466.299500000001
ANKRD45	0.0	937.9635
ANKRD46	233.0112	4769.195399999999
ANKRD49	511.45919999999995	751.9448
ANKRD5	572.0457	474.2556
ANKRD50	828.36	497.9626999999999
ANKRD52	394.695	3191.5797000000002
ANKRD53	347.0046	1936.2983
ANKRD54	745.9920000000001	656.6007
ANKRD55	0.0	16238.9146
ANKRD56	545.05	3631.6295
ANKRD57	767.4882	4995.0923999999995
ANKRD58	266.3216	3666.3249
ANKRD6	0.0	13957.140300000003
ANKRD7	0.0	1638.0517
ANKRD9	134.453	14.381199999999998
ANKS1A	620.9562999999999	635.6723000000001
ANKS3	574.5482	1204.0739
ANKZF1	747.0032999999999	1972.3115999999998
ANLN	630.7178	1066.3102000000001
ANO10	458.6021	507.40259999999995
ANO3	0.0	342.32959999999997
ANO4	300.7	1061.1424
ANO5	555.5238	0.0
ANO6	792.9504000000001	1186.4205000000002
ANO7	0.0	168.5175
ANO8	0.0	3593.4663
ANO9	0.0	834.8282999999999
ANP32A	709.2	2595.4304
ANP32B	1028.6	2104.6073
ANP32C	0.0	890.1903
ANP32E	2557.4642	7605.813999999999
ANPEP	0.0	5609.6521
ANTXR2	666.0077	2057.2608999999998
ANUBL1	807.0648	815.9439
ANXA1	0.0	2362.0624
ANXA10	0.0	1122.1795
ANXA11	703.6176	8103.1865
ANXA13	0.0	3034.5993
ANXA2	801.0	1803.5032
ANXA2P1	0.0	1048.3583
ANXA2P2	0.0	2254.4188
ANXA3	0.0	1119.4876
ANXA4	561.3755	1832.4098000000001
ANXA5	802.3752	2.6845000000000003
ANXA6	2290.5495	15379.390000000001
ANXA7	848.8848	481.6818
ANXA8	0.0	0.0
ANXA8L1	0.0	0.0
ANXA9	0.0	5819.8183
AOC2	0.0	1637.9823999999999
AOC3	0.0	1637.9823999999999
AOX1	0.0	0.0
AOX2P	0.0	1144.3952
AP1AR	1258.3999999999999	2688.7943999999998
AP1B1	797.0405999999999	2431.2974
AP1G1	1401.0	7730.983799999999
AP1G2	250.5048	139.95799999999997
AP1M1	398.4515	20756.654599999998
AP1M2	0.0	2493.3107999999997
AP1S1	0.0	657.3081999999999
AP1S2	524.5999999999999	2618.5605
AP1S3	677.8859000000001	1502.9397
AP2A1	413.99429999999995	2316.3860999999997
AP2A2	285.054	1232.3838
AP2B1	1109.0646000000002	1022.1274999999999
AP2M1	570.5892	361.7095
AP2S1	474.62879999999996	1418.0197
AP3B1	991.7269999999999	848.2982999999999
AP3B2	0.0	753.909
AP3D1	810.2	16687.207499999997
AP3M1	1146.9666	3920.2184000000007
AP3M2	995.8000000000001	344.55400000000003
AP3S1	976.5369999999999	21.348399999999998
AP3S2	691.2297	1693.4425
AP4B1	790.2541	3102.8759000000005
AP4E1	730.8715	2418.1387
AP4M1	1194.8421	1344.8816000000002
AP4S1	334.6645	72.3392
APAF1	475.9318	83.0215
APBA1	0.0	613.8538
APBA2	0.0	1499.1692
APBA3	1414.0199	500.34720000000004
APBB1	0.0	24.4641
APBB1IP	975.0	3674.7151000000003
APBB2	255.68120000000002	4115.7702
APBB3	1087.1209999999999	1140.4677000000001
APC	773.1234000000001	579.6134000000001
APC2	0.0	2645.3021
APCDD1	0.0	701.6573000000001
APEH	1035.3717000000001	243.9665
APEX1	657.2894	605.8752999999999
APEX2	395.9963	0.0
APH1A	1426.9104	2672.5871
APH1B	0.0	1550.5156
API5	555.418	149.59980000000002
APIP	774.7367	7646.3307
APITD1	774.0132000000001	2283.5029999999997
APITD1-CORT	774.0132000000001	2283.5029999999997
APLF	731.0813	7316.861299999999
APLN	0.0	163.0464
APLNR	0.0	277.3608
APLP1	0.0	167.9186
APLP2	479.4	2869.6142
APOA1	0.0	6822.7182
APOA1BP	764.4	23255.270099999998
APOA2	0.0	8151.714499999999
APOA4	0.0	2190.4561000000003
APOA5	0.0	2190.4561000000003
APOB	0.0	683.6380000000001
APOB48R	632.9268	312.1316
APOBEC1	0.0	413.2444
APOBEC2	0.0	618.6768
APOBEC3A	0.0	10935.272300000002
APOBEC3B	980.4000000000001	13712.834600000004
APOBEC3C	811.8	14671.164500000003
APOBEC3D	857.4000000000001	15394.335900000002
APOBEC3F	726.6918000000001	15879.654300000002
APOBEC3G	754.8000000000001	17068.0707
APOBEC3H	374.604	12473.691900000002
APOBEC4	0.0	1908.1179
APOC1	0.0	1328.8094
APOC1P1	0.0	4301.384599999999
APOC2	0.0	6392.776199999999
APOC3	0.0	6822.7182
APOC4	0.0	4335.007199999999
APOD	0.0	7553.860999999999
APOE	0.0	1328.8094
APOF	0.0	3783.4653000000003
APOH	0.0	339.97200000000004
APOL1	623.4104	7923.373100000001
APOL2	813.6854000000001	7923.373100000001
APOL3	839.0	5158.7028
APOL4	0.0	4743.4328000000005
APOL5	0.0	1365.363
APOL6	1094.6862	1018.5468
APOLD1	1540.7829	11361.072699999999
APOM	0.0	4504.202
APOO	689.4925000000001	226.79000000000002
APOOL	298.9117	0.8961
APP	577.332	1463.184
APPBP2	365.6214	2497.6514
APPL1	818.0	457.1436
APPL2	374.0672	2042.9200999999998
APRT	233.82	1483.8002999999999
APTX	870.5332999999999	751.4837
AQP1	0.0	1616.714
AQP10	0.0	11469.2831
AQP11	405.84	0.0
AQP12B	0.0	822.6544
AQP2	0.0	332.6208
AQP3	854.5222	4475.6485
AQP5	0.0	332.6208
AQP6	0.0	332.6208
AQP7	0.0	3563.8761
AQP7P1	0.0	3693.4142
AQP7P3	0.0	2730.0919999999996
AQP8	0.0	128.2096
AQR	607.6224	1497.6968
ARAF	567.0	1790.6422
ARAP1	1237.427	3709.5938
ARAP2	541.0106	1099.5416
ARAP3	0.0	1773.2328
ARC	0.0	153.015
ARCN1	550.0452	33.878
AREG	459.8874	304.09499999999997
ARF1	1284.9789999999998	5968.534200000001
ARF3	413.6216	180.53789999999998
ARF4	1835.3999999999999	1269.077
ARF5	815.76	398.01829999999995
ARF6	563.8	4484.8636
